,Price__Price,Key Specs__Backlit Keyboard,Key Specs__Screen Size,Key Specs__Touch Screen,Key Specs__Storage Type,Key Specs__System Memory (RAM),Key Specs__Graphics,Key Specs__Processor Speed (Base),Key Specs__Processor Model,Key Specs__Processor Model Number,Key Specs__Operating System,Key Specs__Battery Type,General__Product Name,General__Brand,General__Model Number,General__Color Category,Feature__Backlit Keyboard,Display__Screen Size,Display__Screen Resolution,Display__Touch Screen,Display__Display Type,Storage__Storage Type,Memory__System Memory (RAM),Memory__Type of Memory (RAM),Graphics__Graphics,Graphics__Graphics Type,Processor__Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Included__Built-In Webcam,Included__Optical Drive Type,Power__Battery Type,Dimension__Product Height,Dimension__Product Width,Dimension__Product Depth,Certifications & Listings__ENERGY STAR Certified,Certifications & Listings__EPEAT Qualified,Warranty__Manufacturer's Warranty - Parts,Warranty__Manufacturer's Warranty - Labor,Other__UPC
10,"Your price for this item is $1,299.99",Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD (Latest Model)",Apple,MUHP2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190198947840
11,Your price for this item is $899.99,Yes,13.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)",Apple,MVFK2LL/A,Silver,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199256842
12,Your price for this item is $899.99,Yes,17.3 inches,No,SSD,16 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",ASUS,G731GU-BI7N9,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,No,None,Lithium-ion,1 inches,15.7 inches,11.5 inches,No,No,1 year,1 year,192876389584
13,"Your price for this item is $1,099.99",Yes,13.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model)",Apple,MVFJ2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199256835
14,Your price for this item is $179.00,No,11.6 inches,Yes,eMMC,4 gigabytes,Other,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,Lithium-ion,"2-in-1 11.6"" Touch-Screen Chromebook - MT8173c - 4GB Memory - 32GB eMMC Flash Memory",Lenovo,81HY0001US,White,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,LPDDR3,Other,Integrated,MediaTek,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,Yes,None,Lithium-ion,0.8 inches,11.5 inches,8.5 inches,Yes,No,1 year,1 year,192940234819
15,Your price for this item is $299.99,No,14 inches,Yes,SSD,4 gigabytes,Intel UHD Graphics 620,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Lithium-ion,"14"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive",HP,14-DQ0011DX,Gold,No,14 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.71 inches,12.76 inches,8.86 inches,Yes,No,1 year,1 year,193905272761
16,Your price for this item is $279.99,No,11.6 inches,Yes,SSD,4 gigabytes,Intel UHD Graphics 605,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,Lithium-polymer,"Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive",HP,11M-AP0013DX,Gray,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 605,Integrated,Intel,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,Yes,None,Lithium-polymer,0.7 inches,11 inches,7.7 inches,Yes,No,1 year,None,193808372919
17,Your price for this item is $219.00,No,11.6 inches,Yes,eMMC,4 gigabytes,Intel HD Graphics 500,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Lithium-polymer,"Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Acer,NX.GPZAA.001,Black,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,Not provided,Intel HD Graphics 500,Integrated,Intel,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Yes,None,Lithium-polymer,0.8 inches,11.7 inches,8.1 inches,Yes,No,1 year,1 year,191114249390
18,Your price for this item is $399.99,No,17.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"17.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",HP,17-BY1053DX,Jet Black,No,17.3 inches,1600 x 900 (HD+),No,Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Yes,DVD-RW,Lithium-ion,0.96 inches,16.33 inches,10.72 inches,Yes,No,1 year,1 year,193905610877
19,Your price for this item is $299.00,No,12.2 inches,Yes,eMMC,4 gigabytes,Intel HD Graphics 615,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,Lithium-ion,"Plus 2-in-1 12.2"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE521QAB,Silver,No,12.2 inches,1920 x 1200 (WUXGA),Yes,Touchscreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics 615,Integrated,Intel,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,Yes,None,Lithium-ion,0.63 inches,11.3 inches,8.2 inches,Yes,Yes,1 year,1 year,887276275710
