Price,Screen Size,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Average Battery Life (in hours),Hardware Platform,Rear Webcam Resolution,Power Source,Voltage,Memory Speed,California residents,Graphics Card Ram Size,National Stock Number,Package Dimensions,Audio-out Ports (#),Battery Type,Screen Resolution Width,Screen Resolution Height
379.99,15.6,3.9 GHz Intel Core i3,4 GB DDR4,128 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,802.11ac,1.0,3.0,Acer,A515-54-30BQ,.,Windows 10,3.97 pounds,14.3 x 9.9 x 0.7 inches,14.31 x 9.86 x 0.71 inches,Silver,Intel,2.0,DDR4 SDRAM,128.00,Solid State,0.1,No Optical Drive,1 Lithium ion batteries required. (included),,,,,,,,,,,,,1920,1080
146.88,15.6,3.2 GHz Core i5 3470,8 GB SDRAM DDR3,500 GB,Intel HD Graphics 2500,,Integrated HD Graphics,,10.0,,HP,Elit Pro 8300/6300,HP 8300 Elite,Windows 10 Professional,17.1 pounds,14.9 x 4 x 13.3 inches,14.9 x 4 x 13.3 inches,,Intel,4.0,DDR3 SDRAM,,Serial ATA,,DVD-RW,1 CR2 batteries required.,,PC,,,110 volts,,,,,,,,1920,1080
1399.99,15.6,3.9 GHz Intel Core i7,16 GB DDR4,512 GB Hybrid Drive,NVIDIA GeForce RTX 2070,NVIDIA,Dedicated,"802.11a/b/g/n/ac"","" Bluetooth",,3.0,ASUS,ROG SCAR II GL504,GL504GW-DS74,Windows 10 Home,5.29 pounds,14.2 x 10.3 x 1 inches,14.2 x 10.3 x 1 inches,16GB DDR4 RAM,Intel,6.0,DDR4 SDRAM,512,Solid State,10000 RPM,No Optical Drive,1 Lithium ion batteries required. (included),2 hours,PC,,AC & Battery,,2666 MHz,,8 GB,,,,,1920,1080
720.0,12.3,1.3 GHz Core i5 8400T,8 GB LPDDR3 1866 MHz,128 GB Flash Memory Solid State,Intel® UHD Graphics 620 (i5),,Integrated,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,1.0,Microsoft,Surface Pro 6,LGP-00001,Windows 10 Home,1.96 pounds,11.5 x 7.9 x 0.3 inches,11.5 x 7.9 x 0.33 inches,Platinum,Intel,4.0,DDR3 SDRAM,128 GB,,,None,1 Lithium Polymer batteries required. (included),,,8 MP,Battery,,,,,,,,,2736,1824
144.0,15.6,1.6 GHz Intel Celeron,4 GB SDRAM,16 GB eMMC,Intel HD Graphics 400,intel,Integrated,"Bluetooth"","" 802.11ac",,2.0,Acer,Chromebook 15,CB3-532-C8DF,Chrome OS,4.41 pounds,15.1 x 10.1 x 1 inches,15.1 x 10.1 x 1 inches,Black,Intel,2.0,DDR3 SDRAM,16.00,Solid State,16 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,AC & Battery,,1600 MHz,,,,,,,1366,768
180.89,14.0,2.1 GHz MTK 8121,4 GB LPDDR3,64 GB Flash Memory Solid State,,Intel,Integrated,802.11ac,,1.0,Lenovo,Ideapad S330,81JW0000US,Chrome OS,3.3 pounds,12.8 x 0.8 x 9.2 inches,12.82 x 0.82 x 9.15 inches,Business Black,Mediatek,4.0,,64.00,Solid State,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,Chrome,,,,,,,,,,,1920,1080
174.0,11.6,1.1 GHz Celeron N,4 GB DDR3,64 GB emmc,Intel UHD Graphics 600,intel,,802.11ac,,,Lenovo,Lenovo,130S,Windows 10,3.31 pounds,11.3 x 7.9 x 0.7 inches,11.3 x 7.9 x 0.7 inches,Gray,Intel,2.0,DDR3 SDRAM,64 GB,Solid State,,,1 Lithium Polymer batteries required.,,PC,,AC & Battery,,,,,,,,,1366,768
230.0,9.7,,32 GB DDR4 SDRAM,32 GB,M9,,Integrated,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,,APPLE,iPad,MP2F2LL/A,iOS 10,14.1 ounces,9.4 x 0.3 x 6.6 inches,9.4 x 0.3 x 6.6 inches,Space Gray,Apple,2.0,DDR4 SDRAM,32 GB,,,,1 Lithium Polymer batteries required.,10 hours,Mac,8 MP,Corded-Electric,,,,,,,,,2048,1536
358.64,15.6,2.7 GHz Pentium N4200,4 GB,1 TB mechanical_hard_drive,Intel UHD Graphics 605,intel,integrated,802.11abg,,,HP,HP,,Windows 10,4.41 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,,Intel,1.0,DDR4 SDRAM,,Serial ATA,,,1 Lithium Metal batteries required. (included),,PC,,AC & Battery,,,,,,,,,1366,768
151.99,15.6,1.6 GHz Intel Celeron D,2 GB DDR3,16 GB SSD,HD Graphics 400,Intel,Integrated,"802.11bgn"","" Bluetooth",,,Acer,CB5-532,NX.GHJAA.002,Chrome OS,4.3 pounds,10.1 x 15.1 x 1 inches,10.1 x 15.1 x 1 inches,,Intel,1.0,DDR3 SDRAM,16 GB,Solid State,,,1 Lithium Polymer batteries required.,7 hours,PC,720 pixels,AC & Battery,,1600 MHz,,,,,,,1366,768
232.98,15.6,2.5 GHz Celeron N,4 GB,128 GB flash_memory_solid_state,AMD Radeon R5,amd,Dedicated,802.11ac,,,Lenovo,130-15AST,81H5002FUS,Windows 10,4.63 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,Black,Intel,2.0,DDR4 SDRAM,128 GB,Solid State,,,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,,,1366,768
