Price,Screen Size,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Average Battery Life (in hours),Hardware Platform,Rear Webcam Resolution,Power Source,Voltage,Memory Speed,California residents,Graphics Card Ram Size,National Stock Number,Package Dimensions,Audio-out Ports (#),Battery Type,Screen Resolution Width,Screen Resolution Height
330.59,10.1,2.24 GHz 8032,4 GB DDR3,Flash Memory Solid State,Integrated Graphics,,Integrated,"802.11b"", 802.11g,"" 802.11n",,,Lenovo,Yoga Tab 3 Pro,ZA0F0099US,Android 6.0 Marshmallow,1.47 pounds,9.7 x 7 x 0.2 inches,9.72 x 7.05 x 0.18 inches,black,Intel,4.0,,64 GB,,,None,1 Lithium Polymer batteries required. (included),12 hours,,13 MP,Battery,12 volts,1600 MHz,,,,,,,2560,1200
92.0,11.6,1.5 GHz Celeron 3865U,4 GB DDR3,16 GB flash_memory_solid_state,HD Graphics,Intel,integrated,802.11abg,,,Acer,C740-C4PE-CR,NX.EF2AA.002.CR,Chrome OS,2.87 pounds,8 x 11.3 x 0.8 inches,8 x 11.3 x 0.8 inches,PH-Meter 231,Intel,1.0,DDR3 SDRAM,16 GB,ATA,,,1 Lithium ion batteries required. (included),40 hours,PC,780 pixels,Battery,,,,,,,,,1366,768
523.98,8.0,1.8 GHz,3 GB,32 GB,Mali-G71 MP2,,,802.11bgn,,,Samsung,,SM-P200/P205,,11.7 ounces,7.9 x 4.8 x 3.5 inches,7.91 x 4.8 x 3.5 inches,Black,Exynos,8.0,DRAM,32 GB,,,,1 Lithium Polymer batteries required. (included),14 hours,Android,8 MP,Battery,,,,,,,,,1920,1200
735.0,15.6,3.7 GHz Ryzen 5 2600H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,802.11ac,,,ASUS,B07VX9CQ2F,,Windows 10,7.45 pounds,14.2 x 10.3 x 1.1 inches,14.2 x 10.3 x 1.1 inches,,AMD,4.0,DDR4 SDRAM,256 GB,Solid State,,,1 Lithium ion batteries required.,4 hours,PC,,AC & Battery,,,,,,,,,1920,1080
465.0,15.6,4 GHz Intel Core i5,12 GB ddr4_sdram,128 GB 1 TB Mechanical hard drive,Intel,,dedicated,802.11bgn,,,Dell,Inspiron 3670,,Windows 10,14.1 pounds,11.6 x 6.3 x 14.7 inches,11.61 x 6.3 x 14.71 inches,,Intel,,GDDR4,,Serial ATA,7200.00,DVD-RW,2 AAA batteries required. (included),,PC,,,,,,,,,,,1920,1080
1101.97,13.3,2.3 GHz Intel Core i5,8 GB DDR3,256 GB Flash Memory Solid State,Intel Iris Plus Graphics 655,AMD,Integrated,"802.11b"", 802.11g,"" 802.11n",,,Apple,MacBook Pro,,macOS 10.13 High Sierra,3 pounds,8.4 x 12 x 0.6 inches,8.4 x 12 x 0.6 inches,Space Gray,Intel,1.0,DDR SDRAM,32.00,ATA-4,2.3,,1 Lithium ion batteries required. (included),10 hours,PC,,,,2133 MHz,,64 GB,,,,,2560,1600
482.73,15.6,4 GHz Intel Core i5,8 GB DDR4,2 TB Mechanical Hard Drive,,Intel,Integrated,801.11ac,4.0,4.0,Acer,TC-885-ACCFLi5O,TC-885-ACCFLi5O,Windows 10 Home,16.6 pounds,13.8 x 6.4 x 13.4 inches,13.78 x 6.42 x 13.39 inches,,Intel,,DIMM,,Serial ATA,7200 RPM,DVD-RW,1 Lithium ion batteries required.,,PC,,,,,,,,,,,1920,1080
669.0,15.6,1.6 GHz Intel Core i5,8 GB DDR,128 GB Hybrid,Intel HD Graphics 620,intel,Integrated,802.11ac,,,HP,HP 15.6,T8TJG,Windows 10 Home,4.85 pounds,15 x 10 x 0.9 inches,14.96 x 9.99 x 0.94 inches,Black,Intel,4.0,DDR3 SDRAM,128 GB,eSATA,,,1 Lithium ion batteries required. (included),,Home and Business Laptop,,,,,,,,,,,1366,768
420.0,11.6,1.6 GHz Intel Core i5,8 GB,128 GB,Intel HD Graphics 6000,,Integrated,,,,Apple,MacBook Air,,Mac OS X,3.7 pounds,,,,Intel,1.0,DDR3 SDRAM,128 GB,ATA,,,1 Lithium ion batteries required. (included),,Mac,,,,,,,,15.2 x 12.3 x 3.3 inches,,,1920,1080
215.0,7.9,,16 GB,16 GB,Apple M8 motion,,,802.11a,,,APPLE,,,iOS 9,10.1 ounces,5.2 x 0.2 x 8 inches,5.2 x 0.24 x 8 inches,Space Gray,,2.0,,16 GB,,,,1 Lithium Polymer batteries required. (included),10 hours,,8 MP,Corded-Electric,,,,,,,,,2048,1536
206.95,15.6,3.1 GHz Intel Core i3,12 GB ddr3l,512 GB flash_memory_solid_state,,,,,,,Dell,,DELL OptiPlex 9020 USFF,Windows 10 Professional,6.1 pounds,7.2 x 1.4 x 6.9 inches,7.17 x 1.4 x 6.93 inches,,Intel,,DDR3 SDRAM,256 GB,Solid State,,,,,PC,,,,,,,,,,,1920,1080
169.99,11.6,1.6 GHz Celeron N,4 GB DDR3,64 GB SSD,Intel HD Graphics 400,intel,Integrated,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,,HP,HP Chromebook,HP-11-V025WM-RB-AMZ4,Chrome OS,2.5 pounds,8 x 3 x 13 inches,8 x 3 x 13 inches,Gray,Intel,2.0,DDR3 SDRAM,16 GB,ATA,,,1 Lithium Metal batteries required. (included),11.5 hours,PC,,,110 volts,,,,,,,,1920,1080
288.97,14.0,3 GHz Intel Core i5,8 GB SO-DIMM DDR3,256 GB SSD,Intel HD Graphics 5500,Intel,Dedicated,"802.11abg"", 802.11ab,"" 802.11n",,,Dell,Dell Latitude E7450,Latitude E7450,Windows 10,3.64 pounds,9.1 x 13.3 x 0.8 inches,9.12 x 13.3 x 0.8 inches,Black,Intel,4.0,SDRAM,256 GB,Solid State,,,1 Lithium ion batteries required. (included),,PC,,AC & Battery,,,,,,,,,1366,768
239.95,9.7,1.9 GHz Tablet Processor,3 GB SDRAM,,Adreno 510,,Dedicated,802.11abg,1.0,,Samsung,Galaxy Tab S2,SM-T813NZKEXAR,Android 6.0 Marshmallow,13.8 ounces,9.3 x 6.7 x 0.2 inches,9.33 x 6.65 x 0.22 inches,Black,Samsung,1.0,72-Pin EDO SIMM Memory,32 GB,,,,1 Lithium Polymer batteries required. (included),12 hours,Android,,Battery,,667 MHz,,,,,,,1920,1080
799.0,14.0,1.6 GHz Intel Core i5,8 GB DDR4,256 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,801.11ac,,2.0,LG,LG gram,14Z990-U.AAW5U1,Windows 10 Home,2.2 pounds,12.7 x 8.3 x 0.6 inches,12.7 x 8.3 x 0.6 inches,White,Intel,4.0,DDR4 SDRAM,8.00,Solid State,7200 RPM,No Optical Drive,1 Lithium ion batteries required. (included),5 hours,"PC"","" PC",,,,,,8 GB,,,,,1920,1080
1070.99,17.3,4.5 GHz Intel Core i7,16 GB DDR4,512 GB 512GB M.2 PCIe NVMe Solid State Drive,,NVIDIA,Dedicated,,1.0,2.0,Dell,Vulcan 17,G7790-7662GRY-PUS,Windows 10 Home,7.28 pounds,11.7 x 15.9 x 1 inches,11.7 x 15.91 x 0.98 inches,Gray,Intel,1.0,DDR4 SDRAM,16.00,Solid State,7200 RPM,No Optical Drive,1 Lithium ion batteries required.,,,,,,,,6 GB,,,,,1920,1080
129.95,10.1,1.6 GHz,16 GB SDRAM DDR3,16 GB SSD,1.6 GHz Samsung Exynos 4210,,,802.11bgn,,,Samsung,Galaxy Tab A,SM-T580NZKAXAR,AndroidTM 6.0 Marshmallow,1.16 pounds,0.3 x 6.1 x 10 inches,0.32 x 6.11 x 10 inches,Black,,8.0,DDR3 SDRAM,16 GB,Solid State,,,1 Lithium ion batteries required.,10 hours,PC,8 MP,Battery,,1866 MHz,,,,,1.0,,1920,1200
589.86,10.0,1.6 GHz Pentium,8 GB,128 GB,INTEL® PENTIUM® GOLD PROCESSOR 4415Y,,,802.11ac,,,Microsoft,Surface,,Windows 10,2.4 pounds,12 x 3 x 8.5 inches,12 x 3 x 8.5 inches,Black,intel,2.0,,128 GB,,,,1 Lithium ion batteries required. (included),,Windows,8 MP,Corded-Electric,,,,,,,,,1920,1080
761.29,15.6,4.1 GHz Core i7 8750H,128 GB,256 GB SSD and 1TB SATA,NVIDIA GeForce GTX 1050 Ti,Intel UHD Graphics 630,Dedicated,,,,Dell,"G5 15"","" 5590",G5590-5547BLK-PUS,Windows 10,6.26 pounds,,,Black,Intel,4.0,DDR4 SDRAM,128 GB,Solid State,,,1 Lithium ion batteries required. (included),,PC,,,,,,,,18.9 x 13.2 x 3 inches,,,1920,1080
39.54,7.0,,1 GB,16 GB,Quad Core,,,,,,RCA,Touch,,Android 7.0 Nougat,14.4 ounces,,,,,4.0,,16 GB,,,,1 Lithium ion batteries required. (included),,Android,169 pixels,Battery,,,,,,9.7 x 5 x 1.4 inches,,,1024,600
37.74,7.0,1.3 GHz,1 GB,16 GB,,,,Bluetooth,,,RCA,RCT6973W43MDN,RCT6973W43MDN,Android 6.0 Marshmallow,13.9 ounces,7.3 x 0.5 x 4.5 inches,7.28 x 0.48 x 4.48 inches,,,4.0,,16 GB,,,,1 Lithium Polymer batteries required.,6 hours,Android,600 pixels,"Corded-Electric"","" Battery",,,,,,,,,1024,600
750.0,15.6,2.3 GHz Intel Core i5,16 GB,1512 GB Hybrid,NVIDIA GeForce GTX 1050 Ti,nvidia,Dedicated,802.11ac,,,Dell,Dell G3,,Windows 10,5.57 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Black,Intel,4.0,SDRAM,512 GB,Serial ATA,,,1 Lithium ion batteries required.,6 hours,PC,,,,,,,,,,,1920,1080
1087.0,15.6,2.6 GHz Intel Core i7,24 GB,512 GB PCIe SSD,NVIDIA GeForce GTX 1650,nvidia,dedicated,802.11ac,,,Lenovo,Legion,Y540,Windows 10,9.38 pounds,14.4 x 10.2 x 1 inches,14.37 x 10.24 x 1.02 inches,,Intel,6.0,DDR4 SDRAM,512 GB,PCIE x 4,,,1 Lithium ion batteries required. (included),5 hours,PC,,,,,,,,,,,1920,1080
259.99,15.6,3.2 GHz Pentium,4 GB,500 GB HDD 5400 rpm,Intel UHD Graphics 605,,,"802.11b/g"", 802.11bgn,"" 802.11b",3.0,,HP,,3TT19UA,Windows 10,5.5 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,N5000-4GB-500GB,AMD,4.0,SDRAM,500,ATA,5400 RPM,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,,,1920,1080
448.97,13.3,2.5 GHz Intel Core i5,8 GB DDR3,500 GB mechanical_hard_drive,integrated_graphics,intel,Intel HD Graphics 4000,"802.11abg"","" Bluetooth",,,Apple,A1278 (MD101ll/a),MD101LL/A,macOS 10.13 High Sierra,1.1 pounds,12.8 x 8.9 x 0.9 inches,12.78 x 8.94 x 0.95 inches,,Intel,2.0,DDR3 SDRAM,,,,,1 Lithium Polymer batteries required.,,,2 MP,,,,,,,,,,1280,800
555.49,15.6,2.3 GHz Pentium,16 GB,512 GB flash_memory_solid_state,Intel HD Graphics 610,intel,,,,,Lenovo,Ideapad,,Windows 10,5.3 pounds,12.8 x 9.2 x 0.7 inches,12.8 x 9.2 x 0.7 inches,,Intel,2.0,DDR4 SDRAM,,Serial ATA,,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,,,1366,768
2079.03,15.6,4.5 GHz Intel Mobile CPU,16 GB SO-DIMM,,NVIDIA GeForce,NVIDIA,Dedicated,"802.11ac"","" Bluetooth",,3.0,GIGABYTE,AERO 15 Classic,AERO 15 Classic-SA-F74ADW,Windows 10 Home,7.4 pounds,14 x 9.8 x 0.7 inches,14 x 9.8 x 0.74 inches,,Intel,1.0,SODIMM,,PCIE x 4,1 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),9 hours,,,,,,,6 GB,,,,,1920,1080
199.99,14.0,1.6 GHz Intel Celeron,4 GB DDR3,32 GB eMMC,Intel HD Graphics,intel,Integrated,802.11ac,1.0,2.0,Acer,CB3-431,NX.GC2AA.007,Windows 10,3.42 pounds,13.4 x 9.3 x 0.7 inches,13.43 x 9.31 x 0.67 inches,Silver,Intel,1.0,,32.0,ATA-4,1,BD-R,1 C batteries required. (included),12 hours,,,,,,,1,,,,,1920,1080
295.0,9.7,1.65 GHz None,128 GB DDR4_SDRAM,128 GB Flash Memory Solid State,M10,,Integrated,802.11abg,,,APPLE,iPad 9.7,43181-118585,iOS 10,1 pounds,9.4 x 0.3 x 6.6 inches,9.4 x 0.3 x 6.6 inches,Space Gray,Apple,2.0,DDR4 SDRAM,128 GB,,1 RPM,,1 A batteries required. (included),10 hours,Mac,12 MP,Corded-Electric,,,,,,,,Lithium Polymer (LiPo),2048,1536
245.0,15.6,2.3 GHz Pentium D,4 GB DDR,500 GB mechanical_hard_drive,Intel HD Graphics 610,AMD,Dedicated,802.11ac,1.0,1.0,Lenovo,81MV0001US,81MV0001US,Windows 10,3.15 pounds,9.9 x 14.3 x 0.8 inches,9.9 x 14.3 x 0.8 inches,Black,Intel,2.0,DDR4 SDRAM,16.00,Serial ATA,5400 RPM,BD-R,1 Lithium ion batteries required. (included),5.5 hours,PC,,,,,,,,,,,1366,768
789.99,12.3,Intel Core i5,8 GB,128 GB SSD,Intel HD Graphics 620,,,,,,Microsoft,Surface Pro 6,M4R-00001,,5.4 pounds,,,Platinum,Intel,,,128 GB,Solid State,,,1 Lithium Polymer batteries required.,9 hours,PC,8 MP,Battery,,,,,,16.1 x 9.7 x 3.8 inches,,,2736,1824
199.0,15.6,2.6 GHz AMD A Series,4 GB,500 GB mechanical_hard_drive,,amd,,802.11ac,,,Lenovo,Lenovo 130,Lenovo,Windows 10,2.65 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,,AMD,2.0,DDR4 SDRAM,,Solid State,5400 RPM,,1 Lithium Metal batteries required.,5 hours,PC,,,,,,,,,,,1920,1080
249.9,11.6,1.2 MHz Intel Atom,6 GB DDR3,64 GB emmc,500,,,"802.11b/g"", 802.11bgn,"" 802.11b",,,jumper,Touch,,Windows 10,4.75 pounds,,,Silver,Intel,4.0,DDR3 SDRAM,64 GB,Solid State,,,1 Lithium Polymer batteries required. (included),6 hours,PC,2 MP,"Corded-Electric"","" Battery",,,,,,16.3 x 9.6 x 4.9 inches,,,1920,1080
749.99,15.6,1.6 GHz Intel Core i5,16 GB,512 GB flash_memory_solid_state,Intel UHD Graphics 620,Intel,Integrated,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,,Lenovo,Thinkpad,E590,Windows 10,3.98 pounds,,,Black,Intel,4.0,SODIMM,512 GB,Solid State,5400 RPM,,1 Lithium ion batteries required. (included),,PC,,,,,,,,19 x 13 x 3 inches,,,1920,1080
59.09,7.0,1.3 GHz,1 GB DDR_SDRAM,16 GB,R,,,,,,RCA,RCA 7 Voyager,RCT6873W42KC PK,Android 5.0 Lollipop,1.65 pounds,9.7 x 3 x 6.8 inches,9.7 x 3.05 x 6.8 inches,Pink,,4.0,DDR SDRAM,16 GB,,,,1 Lithium Polymer batteries required.,10 hours,Android,1 MP,,,,,,,,,,1024,600
1028.0,15.6,4.5 GHz Intel Core i7,16 GB,512 GB flash_memory_solid_state,NVIDIA GeForce GTX 1650,nvidia,dedicated,802.11ac,3.0,,ASUS,Asus-G531GT,,Windows 10,8.34 pounds,14.2 x 10.8 x 1 inches,14.2 x 10.8 x 1 inches,,Intel,6.0,DDR4 SDRAM,512 GB,Solid State,,,1 Lithium ion batteries required.,4 hours,PC,,,,,,,,,,,1920,1080
368.0,12.5,2.2 GHz core_m,4 GB DDR3,64 GB Embedded MultiMediaCard,Intel HD Graphics 515,Intel,Integrated,802.11ac,,2.0,ASUS,ASUS C302CA-DHM4,C302CA-DHM4,Chrome OS,2.65 pounds,8.3 x 12 x 0.5 inches,8.3 x 12 x 0.5 inches,aluminum,Intel,2.0,DDR3 SDRAM,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),10 hours,Chrome,,,20 volts,,,4 GB,,,,,1920,1080
648.0,15.6,1.6 GHz Intel Core M-5Y10 Processor,12 GB,256 GB flash_memory_solid_state,INTEL,,Integrated,,,,Lenovo,Lenovo,,Windows 10,4.17 pounds,,,Blue,Intel,6.0,DDR3 SDRAM,256 GB,Solid State,,,1 Lithium Metal batteries required.,,PC,,,,,,,,20.1 x 13.7 x 4.3 inches,,,1920,1080
1129.99,14.0,1.6 GHz 1.2GHz Cortex A8 Processor,DDR4,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11ac,,2.0,Lenovo,X1 Carbon 7th Gen,20QD000BUS,Windows 10,3.9 pounds,,,,Intel,1.0,,256.00,Solid State,0.01,No Optical Drive,1 Lithium ion batteries required.,,PC,,,120 volts,,,,,17.4 x 11.3 x 3 inches,,,1920,1080
225.98,15.6,3.1 GHz AMD A Series,4 GB,128 GB flash_memory_solid_state,Other,amd,integrated,,,,Lenovo,81H5002FUS,,Windows 10,4.41 pounds,10 x 14.8 x 0.9 inches,10 x 14.8 x 0.9 inches,,AMD,2.0,DDR4 SDRAM,128 GB,ATA,,,1 A batteries required. (included),5 hours,PC,,,,,,,,,,,1366,768
50.99,7.0,,1 GB,16 GB,ARMv7,,,802.11bgn,,,PRITOM,K7,PTK7116-V1DB,Android 6.0 Marshmallow,1.65 pounds,7.1 x 4.8 x 0.3 inches,7.1 x 4.8 x 0.3 inches,Dark Blue,ARM,4.0,,16 GB,,,,1 Lithium ion batteries required. (included),5 years,Android,2 pixels,"Battery"","" DC",,,,,,,,,1024,600
69.95,8.0,1.4 GHz Snapdragon,1 GB 1GB,16 GB Flash Memory Solid State,Integrated Graphics,,Integrated,"802.11b"", 802.11g,"" 802.11n",,,Lenovo,Tab 4,ZA2B0009US-LCR,Android 7.1,1.05 pounds,8.3 x 0.3 x 4.9 inches,8.3 x 0.3 x 4.9 inches,Slate Black,Qualcomm,4.0,DDR3 SDRAM,2 GB,,,,1 Lithium Polymer batteries required. (included),10 hours,Android,5 MP,Battery,5 volts,,,1 GB,,,,,1280,800
999.0,15.6,3.4 Intel Core i7,8 DDR4,512 Flash Memory Solid State,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,802.11ac,1.0,3.0,MSI,PS63 Modern-096,PS63 Modern-096,Windows 10 Home,3.53 pounds,14.1 x 9.2 x 0.6 inches,14.05 x 9.2 x 0.63 inches,,Intel,4.0,SODIMM,512,PCIE x 4,0.1,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,,,1920,1080
685.0,13.5,2.6 GHz Intel Core i7,8 GB,256 GB Flash Memory Solid State,geforce,nvidia,Dedicated,"802.11a"", 802.11b,"" 802.11g",,2.0,Microsoft,Device Only,CS5-00001,Windows 10 Pro,3.34 pounds,2.2 x 11.5 x 18.8 inches,2.25 x 11.5 x 18.75 inches,Silver,Intel,2.0,,256.0,ATA-4,,No Optical Drive,1 Lithium Polymer batteries required. (included),12 hours,PC,8 MP,Battery,,,,,,,,,3000,2000
114.95,9.6,1.2 GHz,16 GB,16 GB,UNKNOWN,,,"802.11b"", 802.11g,"" 802.11n",,,Samsung,Galaxy Tab E,SM-T560NZKUXAR,Android 5.1 (Lollipop),1.08 pounds,5.9 x 0.3 x 9.5 inches,5.89 x 0.33 x 9.52 inches,Black,,4.0,DDR3 SDRAM,16 GB,,,,1 Lithium Polymer batteries required.,5 hours,Android,5 MP,Battery,,,,,,,,,1280,800
114.95,11.6,1.4 GHz Celeron 2955U,4 GB DDR3,16 GB Flash Memory Solid State,Intel HD Graphic,Intel,Integrated,Bluetooth,1.0,,Dell,,3120,Chrome OS,3 pounds,7.9 x 11.6 x 1 inches,7.9 x 11.6 x 1 inches,Black,Intel,2.0,SORIMM,16.0,ATA,,,1 Lithium ion batteries required. (included),10 hours,PC,,,,,,,,,,,1366,768
600.0,13.3,8032,8 GB SDRAM,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11ac,,,Dell,Dell Inspiron,dell i7386-5038slv-pus,,3.22 pounds,8.5 x 12 x 0.5 inches,8.5 x 11.97 x 0.51 inches,Silver,,4.0,DDR4 SDRAM,256 GB,,,,1 Lithium Polymer batteries required. (included),,,,AC & Battery,,,,,,,,,1920,1080
123.42,15.6,3.1 GHz Intel Core i3,8 GB ddr3_sdram,1 TB mechanical_hard_drive,,,,,,,Dell,Optiplex,Dell 390 DT,Windows 10 Professional,28.2 pounds,,,,Intel,2.0,DDR3 SDRAM,,Serial ATA,,DVD,,,PC,,,,,,,,20 x 17.5 x 8 inches,,,1920,1080
190.0,14.0,2.6 GHz AMD A6,4 GB,500 GB mechanical_hard_drive,AMD Radeon R4,amd,Dedicated,802.11bgn,1.0,,ASUS,X441B,X441BA-CBA6A,Windows 10,3.86 pounds,9.6 x 13.7 x 1.1 inches,9.57 x 13.66 x 1.1 inches,,Intel,2.0,DDR4 SDRAM,512 GB,Serial ATA-600,5400 RPM,,1 A batteries required. (included),,PC,,,19 volts,,,,,,,,1366,768
519.99,17.3,3.4 GHz A10,8 GB,1 TB mechanical_hard_drive,,amd,,"802.11b/g"", 802.11bgn,"" 802.11b",,,HP,HP Pavilion,1KU52UA,Windows 10,11.5 ounces,2.2 x 21.7 x 13.4 inches,2.2 x 21.7 x 13.4 inches,,AMD,4.0,DDR4 SDRAM,1 TB,,5400 RPM,,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,,,1920,1080
285.0,15.6,2.7 GHz AMD A Series,8 GB DDR,1 TB HDD 5400 rpm,AMD Radeon R7,amd,Dedicated,802.11abg,,,Lenovo,,Lenovo-A12-Laptop,Windows 10,5.07 pounds,14.8 x 10.2 x 0.4 inches,14.84 x 10.2 x 0.39 inches,a12l8Gl1TB,AMD,1.0,DDR3 SDRAM,,IDE,5400.00,,1 Lithium Metal batteries required. (included),,PC,,,,,Click here for Proposition 65 warning,,,,,,1920,1080
680.0,23.8,1.6 GHz Intel Core i5,12 GB DDR4,1000 GB Mechanical Hard Drive,Intel HD Graphics 520,,Integrated,,2.0,2.0,Acer,Aspire,C24-865-ACi5NT,Windows 10 Home,6.9 pounds,21.3 x 0.5 x 12.6 inches,21.26 x 0.46 x 12.64 inches,Silver,Intel,4.0,DDR4 SDRAM,0.01,Serial ATA,5400 RPM,None,1 Lithium ion batteries required.,,PC,,,,,,,,,,,1920,1080
1229.0,15.6,3.9 GHz Intel Core i7,16 GB DDR4,1000 GB Hybrid Drive,NVIDIA GeForce GTX 1060,NVIDIA,Dedicated,802.11a/b/g/n/ac,,4.0,ASUS,ROG Strix Hero II,GL504,Windows 10 Home,5.29 pounds,14.2 x 10.3 x 1 inches,14.21 x 10.31 x 1.03 inches,,Intel,6.0,DDR4 SDRAM,256.00,Serial ATA,5400 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,2666 MHz,,6 GB,,,,,1920,1080
279.99,11.6,1.1 GHz Pentium,4 GB DDR,500 GB HDD 5400 rpm,Integrated Intel UHD Graphics 605,Intel,,802.11ac,,,HP,HP Pavilion x360,HP x360,Windows 10 Home,4.26 pounds,7.9 x 11.6 x 0.8 inches,7.9 x 11.6 x 0.8 inches,Natural Silver,Intel,4.0,DDR SDRAM,,Serial ATA,,,1 Lithium ion batteries required. (included),8.5 hours,2 in 1 laptop,,AC & Battery,,,,,,,,,1366,768
159.99,14.1,2 GHz Atom x5 Z8300,4 GB DDR4,64 GB Scalable 128G hard drive,10,Intel,integrated,"802.11ac"", Bluetooth,"" 802.11abg",2.0,,CHUWI,intel,HEROBOOK,Windows 10,4.7 pounds,13.1 x 8.4 x 0.8 inches,13.07 x 8.43 x 0.84 inches,Silver,Intel,4.0,DDR3 SDRAM,64 GB,SSA,2.00,,1 Lithium ion batteries required. (included),9 hours,PC,,DC,,2 GHz,,,,,,,1920,1080
185.0,7.9,,32 GB,32 GB,,,,"802.11abg"", 802.11a/b/g/n,"" 802.11a",,,APPLE,iPad Mini 2,Mini 2,,11.7 ounces,0.3 x 5.3 x 7.9 inches,0.29 x 5.3 x 7.87 inches,Space grey,,,,32 GB,,,,1 Lithium ion batteries required. (included),,,5 MP,Battery,,,,,,,,,1920,1080
124.99,8.0,1.4 GHz,2 GB,16 GB,,,,"802.11abg"", 802.11a/b/g/n/ac, 802.11a/b/g/n,"" 802.11a",,,Samsung,Galaxy Tab A,SM-T380NZSMXAR,Android 6.0 Marshmallow,1.25 pounds,,,Silver,,1.0,,16 GB,,,,1 Lithium ion batteries required. (included),,Android,8 MP,"Corded-Electric"","" Battery",,,,,,8.7 x 5.3 x 1.9 inches,,,1280,800
459.18,15.6,3.4 Core i5 Family,8 GB DDR4,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,,1.0,1.0,HP,6WC33UA#ABA,6WC33UA#ABA,Windows 10 Home,3.84 pounds,1 x 1 x 1 inches,1 x 1 x 1 inches,,Intel,1.0,DDR4 SDRAM,256,eSATA,7200,No Optical Drive,1 Lithium Polymer batteries required. (included),12 hours,PC,,,,,,,,,,,1366,768
320.97,9.7,,2 GB,128 GB,Apple A9X,,,"802.11b"", 802.11g,"" 802.11n",,,APPLE,iPad Pro,MLMV2LL/A,iOS,15.4 ounces,6.7 x 0.2 x 9.4 inches,6.67 x 0.24 x 9.45 inches,Space Gray,,1.0,,128 GB,,,,1 Lithium Polymer batteries required.,,,8 MP,Battery,,,,,,,,,1920,1080
590.33,15.6,3.9 GHz Core i5 Family,8 GB DDR4,512 GB Flash Memory Solid State,,NVIDIA,Dedicated,802.11ac,1.0,3.0,Acer,A515-54G-5928,A515-54G-5928,Windows 10 Home,5.9 pounds,14.3 x 9.9 x 0.7 inches,14.31 x 9.88 x 0.71 inches,,Intel,4.0,DDR4 SDRAM,512.00,Solid State,0.1,No Optical Drive,1 Lithium Polymer batteries required. (included),,,,,,,,2 GB,,,,,1920,1080
1949.99,17.3,4.5 GHz Intel Core i7,16 GB DDR4,1 TB Flash Memory Solid State,NVIDIA GeForce RTX 2070,NVIDIA,Dedicated,"802.11b/n/ac"","" Bluetooth",,4.0,ASUS,ROG Strix Hero III,G731GW-DB76,Windows 10 Home,6.28 pounds,15.7 x 11.6 x 1 inches,15.74 x 11.55 x 1.03 inches,,Intel,6.0,DDR4 SDRAM,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,2666 MHz,,8 GB,G731GW-DB76,,,,1920,1080
409.0,15.6,3.4 GHz Core i3 8130U,8 GB,1 TB HDD 5400 rpm,Intel Graphics 620,Intel,integrated,"802.11abg"","" Bluetooth",,,HP,HP 15-da0032wm,,Windows 10,4.6 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.7 x 0.9 inches,Silver I3-8130 l24G,Intel,2.0,DDR4 SDRAM,512 GB,ATA,5400.00,,1 Lithium ion batteries required.,10 hours,PC,720 MP,AC & Battery,,2400 MHz,,,,,,,1366,768
588.0,15.6,1.8 GHz Intel Core i7,8 GB A8,1 TB SSD,Intel HD Graphics 620,Intel,Integrated,Bluetooth,1.0,3.0,Dell,Dell Inspiron,Dell-I5575,Windows 10,4.41 pounds,15 x 10.2 x 0.8 inches,15 x 10.2 x 0.8 inches,Silver,Intel,4.0,DDR4 SDRAM,128.00,Solid State,5400,BD-R,1 Lithium Metal batteries required. (included),,PC,,,,,,3,,,,,1920,1080
