Price,Backlit Keyboard,Screen Size,Touch Screen,Storage Type,System Memory (RAM),Graphics,Processor Speed (Base),Processor Model,Processor Model Number,Operating System,Battery Type,Product Name,Brand,Model Number,Color Category,Feature__Backlit Keyboard,Display__Screen Size,Screen Resolution,Display__Touch Screen,Display Type,Storage__Storage Type,Memory__System Memory (RAM),Type of Memory (RAM),Graphics__Graphics,Graphics Type,Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Built-In Webcam,Optical Drive Type,Power__Battery Type,Product Height,Product Width,Product Depth,ENERGY STAR Certified,EPEAT Qualified,Manufacturer's Warranty - Parts,Manufacturer's Warranty - Labor,UPC
919.99,True,15.6 inches,False,HDD,8 gigabytes,NVIDIA GeForce GTX 1060,2.2 gigahertz,Intel 8th Generation Core i7,i7-8750H,Windows 10 Home,Lithium-ion,"Predator Helios 300 15.6"" Gaming Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive",Acer,PH3155171FS,Black,True,15.6 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,HDD,8 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1060,Discrete,Intel,2.2 gigahertz,Intel 8th Generation Core i7,i7-8750H,Windows 10 Home,True,None,Lithium-ion,1.1 inches,15.4 inches,10.5 inches,False,False,2 years,2 years,191114870013
199.99,False,14 inches,False,eMMC,4 gigabytes,Other,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,Lithium-ion,"Stream 14"" Laptop - AMD A4-Series - 4GB Memory - AMD Radeon R3 - 32GB eMMC Flash Memory",HP,S14-DS0010NR,Blue,False,14 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,4 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,True,None,Lithium-ion,0.7 inches,13.3 inches,8.9 inches,True,False,1 year,1 year,193905104185
1099.99,True,13.3 inches,False,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel Core i5,Mac OS,Lithium-polymer,"MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage",Apple,MREF2LL/A,Gold,True,13.3 inches,2560 x 1600 (Retina),False,LED,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel Core i5,Mac OS,True,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190198705495
299.99,False,15.6 inches,False,SSD,4 gigabytes,Other,3.1 gigahertz,AMD A9,A9-9425,Windows 10 Home in S mode,Lithium-ion,"IdeaPad 130 15.6"" Laptop - AMD A9-Series - 4GB Memory - AMD Radeon R5 - 128GB Solid State Drive",Lenovo,81H5002FUS,Black,False,15.6 inches,1366 x 768 (HD),False,Widescreen LED,SSD,4 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,3.1 gigahertz,AMD A9,A9-9425,Windows 10 Home in S mode,True,DVD-RW,Lithium-ion,0.76 inches,14.8 inches,10 inches,True,False,1 year,1 year,193268620643
2199.99,True,15.6 inches,False,SSD,16 gigabytes,NVIDIA GeForce RTX 2070 Max-Q,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-polymer,"Blade 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2070 Max-Q - 512GB SSD",Razer,RZ09-03017EM8-R3U1,White,True,15.6 inches,1920 x 1080 (Full HD),False,Widescreen LCD,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2070 Max-Q,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,True,None,Lithium-polymer,0.7 inches,14 inches,9.3 inches,False,False,1 year,1 year,811659035967
279.99,False,15.6 inches,False,HDD,4 gigabytes,AMD Radeon R4,2.6 gigahertz,AMD A6,A6-9225,Windows 10 Home,Lithium-ion,"S145-15AST 15.6"" Laptop - AMD A6-Series - 4GB Memory - 1TB Hard Drive",Lenovo,81N3009BUS,Black,False,15.6 inches,1366 x 768 (HD),False,Widescreen LED,HDD,4 gigabytes,DDR4 SDRAM,AMD Radeon R4,Integrated,AMD,2.6 gigahertz,AMD A6,A6-9225,Windows 10 Home,True,None,Lithium-ion,0.8 inches,14.3 inches,9.9 inches,True,False,1 year,1 year,193638532873
3349.0,True,15.4 inches,False,SSD,32 gigabytes,AMD Radeon Pro Vega 20,2.9 gigahertz,Intel 8th Generation Core i9,Intel 8th Generation Core i9,Mac OS,Lithium-polymer,"MacBook Pro - 15"" Display with Touch Bar - Intel Core i9 - 32GB Memory - AMD Radeon Pro Vega 20 - 1TB SSD",Apple,MUQH2LL/A,Space Gray,True,15.4 inches,2880 x 1800 (Retina),False,LED,SSD,32 gigabytes,DDR4,AMD Radeon Pro Vega 20,Discrete,Intel,2.9 gigahertz,Intel 8th Generation Core i9,Intel 8th Generation Core i9,Mac OS,True,None,Lithium-polymer,0.61 inches,13.75 inches,9.48 inches,True,True,1 Year,1 Year,190199039704
949.99,True,13.3 inches,True,SSD,16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Lithium-ion,"Yoga 730 2-in-1 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",Lenovo,81CT007RUS,Silver,True,13.3 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4 SDRAM,Other,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,True,None,Lithium-ion,0.6 inches,12.1 inches,8.5 inches,True,False,1 year,1 year,192651913706
1099.99,True,13.3 inches,True,SSD,16 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Notebook 9 Pro 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive",Samsung,NP930MBE-K04US,Silver,True,13.3 inches,1920 x 1080 (Full HD),True,Full HD Widescreen LED,SSD,16 gigabytes,LPDDR3,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.5 inches,12.1 inches,8.1 inches,True,False,1 year,1 year,887276334622
969.99,True,17.3 inches,False,"SSD, HDD",16 gigabytes,NVIDIA GeForce GTX 1050,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive + 256GB SSD",ASUS,N705FDES76,Gray,True,17.3 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1050,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.8 inches,16.2 inches,10.6 inches,False,False,1 year,1 year,192876148877
399.0,True,15.6 inches,True,eMMC,4 gigabytes,Intel HD Graphics 505,1.1 gigahertz,Intel Pentium,N4200,Chrome OS,Lithium-ion,"Spin 15 2-in-1 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory",Acer,CP315-1H-P8QY,Silver,True,15.6 inches,1920 x 1080 (Full HD),True,Full HD Widescreen LED,eMMC,4 gigabytes,Not provided,Intel HD Graphics 505,Integrated,Intel,1.1 gigahertz,Intel Pentium,N4200,Chrome OS,True,None,Lithium-ion,0.8 inches,15.2 inches,10.3 inches,False,False,1 year,1 year,191114920589
87.99,False,11.6 inches,False,SSD,4 gigabytes,Intel HD Graphics,1.4 gigahertz,Intel Celeron,2955U,Chrome OS,Lithium-polymer,"11.6"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 16GB Solid State Drive",Acer,C720-4,Gray,False,11.6 inches,1366 x 768 (HD),False,Widescreen LED,SSD,4 gigabytes,Not provided,Intel HD Graphics,Integrated,Intel,1.4 gigahertz,Intel Celeron,2955U,Chrome OS,False,None,Lithium-polymer,0.8 inches,11.3 inches,8 inches,False,False,90 days,90 days,841631126673
699.0,False,15.6 inches,True,eMMC,8 gigabytes,Other,1.6 gigahertz,Intel 8th Generation Core i5,i5-8250U,Chrome OS,Lithium-ion,"Yoga C630 2-in-1 15.6"" Touch-Screen Chromebook - Intel Core i5 - 8GB Memory - 128GB eMMC Flash Memory",Lenovo,81JX0000US,Blue,False,15.6 inches,1920 x 1080 (Full HD),True,Full HD Widescreen LED,eMMC,8 gigabytes,DDR4 SDRAM,Other,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8250U,Chrome OS,True,None,Lithium-ion,0.7 inches,14.2 inches,9.8 inches,True,False,1 year,1 year,192940265059
679.99,True,13.3 inches,False,HDD,16 gigabytes,Intel HD Graphics 3000,2.4 gigahertz,Intel 2nd Generation Core i5,,Mac OS,Lithium-polymer,"Macbook Pro® 13.3"" Refurbished Laptop - Intel Core i5 - 16GB Memory - 500GB Hard Drive",Apple,MD313LL/A16,Silver,True,13.3 inches,1280 x 800 (WXGA),False,LED,HDD,16 gigabytes,DDR3,Intel HD Graphics 3000,Integrated,Intel,2.4 gigahertz,Intel 2nd Generation Core i5,,Mac OS,True,DVD+RW DL,Lithium-polymer,0.95 inches,12.78 inches,8.94 inches,True,True,90 Days,90 Days,643907578069
258.99,False,14 inches,False,SSD,8 gigabytes,Intel HD Graphics 520,2.4 gigahertz,Intel 6th Generation Core i5,i5-6300U,Windows 10 Pro,Lithium-ion,"EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Solid State Drive",HP,640 G2-31322,Black,False,14 inches,1366 x 768 (HD),False,Widescreen LED,SSD,8 gigabytes,DDR3 SDRAM,Intel HD Graphics 520,Integrated,Intel,2.4 gigahertz,Intel 6th Generation Core i5,i5-6300U,Windows 10 Pro,True,None,Lithium-ion,1.1 inches,13.4 inches,9.3 inches,True,False,1 year,1 year,825633458642
1549.99,True,15.6 inches,True,SSD,16 gigabytes,NVIDIA GeForce GTX 1050,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Lithium-polymer,"Creator 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 1TB SSD",ASUS,Q547FD-BI7T9,Gray,True,15.6 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,LPDDR3,NVIDIA GeForce GTX 1050,Discrete,Intel,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,True,None,Lithium-polymer,0.8 inches,14 inches,9 inches,False,False,1 year,1 year,192876442104
1499.99,True,13.3 inches,False,SSD,8 gigabytes,Intel Iris Plus Graphics 640,2.3 gigahertz,Intel 7th Generation Core i5,Not Available,Mac OS,Lithium-polymer,"MacBook Pro® - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage",Apple,MPXT2LL/A,Silver,True,13.3 inches,2560 x 1600 (Retina),False,LED,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 640,Integrated,Intel,2.3 gigahertz,Intel 7th Generation Core i5,Not Available,Mac OS,True,None,Lithium-polymer,0.59 inches,11.97 inches,8.36 inches,True,True,1 year limited,1 year limited,190198393821
849.99,False,17.3 inches,False,HDD,16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Inspiron 17.3"" Laptop - Intel Core i7 - 16GB Memory - 2TB Hard Drive",Dell,I3780-7766BLK-PUS,Black,False,17.3 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,HDD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,DVD-RW,Lithium-ion,1 inches,16.4 inches,11 inches,False,False,1 year,1 year,884116315759
2099.0,True,13.5 inches,True,SSD,16 gigabytes,NVIDIA GeForce GTX 1050,,Intel 8th Generation Core i7,i7-8650U,Windows 10 Pro,Lithium-polymer,"Surface Book 2 - 13.5"" Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",Microsoft,HNL-00001,Silver,True,13.5 inches,3000 x 2000,True,Touchscreen LCD,SSD,16 gigabytes,LPDDR3,NVIDIA GeForce GTX 1050,Discrete,Intel,,Intel 8th Generation Core i7,i7-8650U,Windows 10 Pro,True,,Lithium-polymer,0.9 inches,12.3 inches,9.14 inches,False,False,1-year limited hardware,1 Year,889842249071
419.0,False,14 inches,True,eMMC,4 gigabytes,Intel UHD Graphics 605,1.1 gigahertz,Intel Pentium,N5000,Chrome OS,Lithium-ion,"2-in-1 14"" Touch-Screen Chromebook - Intel Pentium Silver - 4GB Memory - 64GB eMMC Flash Memory",HP,14B-CA0023DX,White,False,14 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,LPDDR4 SDRAM,Intel UHD Graphics 605,Integrated,Intel,1.1 gigahertz,Intel Pentium,N5000,Chrome OS,True,None,Lithium-ion,0.7 inches,12.8 inches,8.9 inches,True,False,1 year,1 year,193905560554
2699.99,True,17.3 inches,False,"SSD, HDD",16 gigabytes,NVIDIA GeForce RTX 2070,3 gigahertz,Intel 9th Generation Core i7,i7-9700,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2070 - 1TB Hard Drive + 256GB SSD",Alienware,AWAR51M-7350WHT-PUS,White,True,17.3 inches,1920 x 1080 (Full HD),False,Widescreen LCD,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2070,Discrete,Intel,3 gigahertz,Intel 9th Generation Core i7,i7-9700,Windows 10 Home,True,None,Lithium-ion,1.2 inches,15.9 inches,12.6 inches,False,False,1 year,1 year,884116316350
1519.99,True,15.6 inches,True,SSD,16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Spectre x360 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD + Optane",HP,15-DF0033DX,Gray,True,15.6 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.8 inches,14.2 inches,9.8 inches,True,False,1 year,1 year,193808419386
279.99,False,15.6 inches,False,HDD,8 gigabytes,Other,2.5 gigahertz,AMD 2nd Generation Ryzen 3,2200U,Windows 10 Home,Lithium-ion,"15.6"" Refurbished Laptop - AMD Ryzen 3 - 8GB Memory - 1TB Hard Drive",HP,15DB0003CAREF,Silver,False,15.6 inches,1366 x 768 (HD),False,Widescreen LED,HDD,8 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,2.5 gigahertz,AMD 2nd Generation Ryzen 3,2200U,Windows 10 Home,True,None,Lithium-ion,0.9 inches,14.8 inches,9.7 inches,False,False,90 days,90 days,192545874694
499.99,False,15.6 inches,False,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home,Lithium-ion,"15 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",ASUS,X509FADB51,Gray,False,15.6 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home,True,None,Lithium-ion,0.9 inches,14.2 inches,9.2 inches,True,False,1 year,1 year,192876396667
1099.99,True,17.3 inches,True,HDD,16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Inspiron 2-in-1 17.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive",Dell,I7786-7199SLV-PUS,Silver,True,17.3 inches,1920 x 1080 (Full HD),True,Touchscreen Widescreen LCD,HDD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.8 inches,16.2 inches,10.8 inches,False,False,1 year,1 year,884116313199
399.99,False,14 inches,True,SSD,8 gigabytes,Intel UHD Graphics 620,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home,Lithium-ion,"Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive",HP,14M-DH0001DX,Gray,False,14 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home,True,None,Lithium-ion,0.8 inches,12.7 inches,8.8 inches,True,False,1-year,1-year,193808370793
2199.99,True,13.3 inches,False,SSD,16 gigabytes,Other,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Mac OS,Lithium-polymer,"MacBook Pro 13.3"" Laptop - Intel Core i5 - 16GB Memory - 512GB Solid State Drive",Apple,13687659,Silver,True,13.3 inches,2560 x 1600 (Retina),False,Full HD Widescreen LED,SSD,16 gigabytes,LPDDR3,Other,Integrated,Intel,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Mac OS,True,None,Lithium-polymer,0.6 inches,12 inches,8.4 inches,True,False,1 year,1 year,641719010579
238.99,False,14 inches,False,HDD,8 gigabytes,Intel HD Graphics,2.5 gigahertz,Intel 2nd Generation Core i5,i5-2520M,Windows 10 Home,Lithium-ion,"EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive",HP,8460PI525850010,Silver,False,14 inches,1366 x 768 (HD),False,Widescreen LED,HDD,8 gigabytes,DDR3 SDRAM,Intel HD Graphics,Integrated,Intel,2.5 gigahertz,Intel 2nd Generation Core i5,i5-2520M,Windows 10 Home,False,,Lithium-ion,,,,False,False,18 months,18 months,812177027656
229.99,False,14 inches,False,eMMC,4 gigabytes,Other,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,Lithium-ion,"Stream 14"" Gaming Laptop - AMD A4-Series - 4GB Memory - AMD Radeon R3 - 64GB eMMC Flash Memory",HP,S14-DS0080NR,Pink,False,14 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,4 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,True,None,Lithium-ion,0.7 inches,13.3 inches,8.9 inches,True,False,1 year,1 year,193905104413
1699.99,True,13.3 inches,False,SSD,16 gigabytes,NVIDIA GeForce GTX 1650,1.3 gigahertz,Intel 10th Generation Core i7,i7-1065G7,Windows 10 Home,Lithium-polymer,"Blade Stealth 13.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1650 - 512GB SSD",Razer,RZ09-03101E72-R3U1,Black,True,13.3 inches,1920 x 1080 (Full HD),False,Widescreen LCD,SSD,16 gigabytes,LPDDR4,NVIDIA GeForce GTX 1650,Discrete,Intel,1.3 gigahertz,Intel 10th Generation Core i7,i7-1065G7,Windows 10 Home,True,None,Lithium-polymer,0.6 inches,12 inches,8.3 inches,True,False,1 year,1 year,811659034397
1453.99,True,13.3 inches,True,SSD,16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Spectre x360 2-in-1 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",HP,13-AP0043DX,Silver,True,13.3 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4 SDRAM,Other,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.5 inches,12.1 inches,8.6 inches,True,False,1 year,None,193424629305
269.99,False,14 inches,True,eMMC,4 gigabytes,Other,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,Lithium-ion,"Stream 14"" Touch-Screen Gaming Laptop - AMD A4-Series - 4GB Memory - AMD Radeon R3 - 64GB eMMC Flash Memory",HP,S14-DS0090NR,Blue,False,14 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,1.5 gigahertz,AMD A4,A4-9120e,Windows 10 Home in S mode,True,None,Lithium-ion,0.7 inches,13.3 inches,8.9 inches,True,False,1 year,1 year,193905104062
649.99,False,15.6 inches,True,HDD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home,Lithium-ion,"Pavilion 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive",HP,15-CS2079NR,Silver,False,15.6 inches,1920 x 1080 (Full HD),True,Touchscreen Widescreen LED,HDD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home,True,None,Lithium-ion,0.7 inches,14.2 inches,9.51 inches,True,True,1 Year,1 Year,193424869985
1599.0,True,13.5 inches,True,SSD,8 gigabytes,NVIDIA GeForce GTX 1050,,Intel 8th Generation Core i7,i7-8650U,Windows 10 Pro,Lithium-polymer,"Surface Book 2 - 13.5"" Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i7 - 8GB Memory - 256GB SSD",Microsoft,HN4-00001,Silver,True,13.5 inches,3000 x 2000,True,Touchscreen LCD,SSD,8 gigabytes,LPDDR3,NVIDIA GeForce GTX 1050,Discrete,Intel,,Intel 8th Generation Core i7,i7-8650U,Windows 10 Pro,True,,Lithium-polymer,0.9 inches,12.3 inches,9.14 inches,False,False,1-year limited hardware,1 Year,889842248852
189.99,False,11.6 inches,False,eMMC,4 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory",Dell,C3181-C871BLK-PUS,Black,False,11.6 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,True,None,Lithium-ion,0.8 inches,11.9 inches,8.1 inches,False,False,1 year,1 year,884116312871
1199.99,True,14 inches,True,SSD,16 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"gram 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive",LG,14T990-U.AAS8U1,Silver,True,14 inches,1920 x 1080 (Full HD),True,Touchscreen LCD,SSD,16 gigabytes,DDR4,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.7 inches,12 inches,8.3 inches,True,False,1 Year,1 Year,719192629561
599.99,False,14 inches,False,SSD,8 gigabytes,Intel HD Graphics 520,2.4 gigahertz,Intel 6th Generation Core i5,i5-6300U,Windows 10 Pro,Lithium-ion polymer,"EliteBook 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",HP,840-G3,Silver,False,14 inches,1920 x 1080 (Full HD),False,LED,SSD,8 gigabytes,DDR4,Intel HD Graphics 520,Integrated,Intel,2.4 gigahertz,Intel 6th Generation Core i5,i5-6300U,Windows 10 Pro,True,None,Lithium-ion polymer,0.74 inches,13.3 inches,9.3 inches,True,True,1 Year,1 Year,194441140934
299.99,False,15.6 inches,False,HDD,8 gigabytes,Other,3.1 gigahertz,AMD A9,A9-9425,Windows 10 Home,Lithium-ion,"15.6"" Laptop - AMD A9-Series - 8GB Memory - AMD Radeon R5 - 1TB Hard Drive",ASUS,X540BARB94,Gray,False,15.6 inches,1366 x 768 (HD),False,Widescreen LED,HDD,8 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,3.1 gigahertz,AMD A9,A9-9425,Windows 10 Home,True,None,Lithium-ion,1.1 inches,15 inches,9.9 inches,False,False,1 year,1 year,889349989883
1709.99,True,13.3 inches,False,SSD,16 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel Core i5,Mac OS,Lithium-polymer,"MacBook Air - 13.3"" Retina Display - Intel Core i5 - 16GB Memory - 512GB Flash Storage",Apple,MUQT2LL/A,Space Gray,True,13.3 inches,2560 x 1600 (Retina),False,LED,SSD,16 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel Core i5,Mac OS,True,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190199048751
1429.99,True,13.3 inches,True,SSD,16 gigabytes,Other,1.1 gigahertz,Intel 10th Generation Core i7,i7-10710U,Windows 10,Lithium-ion,"XPS 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",Dell,BBY-X349NFX,Silver,True,13.3 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LCD,SSD,16 gigabytes,LPDDR3,Other,Integrated,Intel,1.1 gigahertz,Intel 10th Generation Core i7,i7-10710U,Windows 10,True,None,Lithium-ion,0.5 inches,11.9 inches,7.8 inches,False,False,1 year,1 year,884116361121
280.99,False,11.6 inches,True,eMMC,4 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3150,Chrome OS,Lithium-ion,"R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Acer,CB5132TC1LK,White,False,11.6 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,DDR3L SDRAM,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3150,Chrome OS,True,None,Lithium-ion,0.8 inches,11.6 inches,8 inches,False,False,1 year,1 year,888863334391
979.99,True,15.6 inches,False,"SSD, HDD",16 gigabytes,NVIDIA GeForce GTX 1650,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"15.6"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1650 - 1TB Hard Drive + 256GB SSD",ASUS,K571GTEB76,Black,True,15.6 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1650,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,True,None,Lithium-ion,0.9 inches,14.1 inches,9.8 inches,False,False,1 year,1 year,192876373903
