Price,Backlit Keyboard,Screen Size,Touch Screen,Storage Type,System Memory (RAM),Graphics,Processor Speed (Base),Processor Model,Processor Model Number,Operating System,Battery Type,Product Name,Brand,Model Number,Color Category,Feature__Backlit Keyboard,Display__Screen Size,Screen Resolution,Display__Touch Screen,Display Type,Storage__Storage Type,Memory__System Memory (RAM),Type of Memory (RAM),Graphics__Graphics,Graphics Type,Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Built-In Webcam,Optical Drive Type,Power__Battery Type,Product Height,Product Width,Product Depth,ENERGY STAR Certified,EPEAT Qualified,Manufacturer's Warranty - Parts,Manufacturer's Warranty - Labor,UPC
1299.99,True,13.3 inches,False,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD (Latest Model)",Apple,MUHP2LL/A,Space Gray,True,13.3 inches,2560 x 1600 (Retina),False,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,True,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190198947840
899.99,True,13.3 inches,False,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)",Apple,MVFK2LL/A,Silver,True,13.3 inches,2560 x 1600 (Retina),False,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,True,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190199256842
899.99,True,17.3 inches,False,SSD,16 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",ASUS,G731GU-BI7N9,Black,True,17.3 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,False,None,Lithium-ion,1 inches,15.7 inches,11.5 inches,False,False,1 year,1 year,192876389584
1099.99,True,13.3 inches,False,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model)",Apple,MVFJ2LL/A,Space Gray,True,13.3 inches,2560 x 1600 (Retina),False,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,True,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190199256835
179.0,False,11.6 inches,True,eMMC,4 gigabytes,Other,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,Lithium-ion,"2-in-1 11.6"" Touch-Screen Chromebook - MT8173c - 4GB Memory - 32GB eMMC Flash Memory",Lenovo,81HY0001US,White,False,11.6 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,LPDDR3,Other,Integrated,MediaTek,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,True,None,Lithium-ion,0.8 inches,11.5 inches,8.5 inches,True,False,1 year,1 year,192940234819
299.99,False,14 inches,True,SSD,4 gigabytes,Intel UHD Graphics 620,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Lithium-ion,"14"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive",HP,14-DQ0011DX,Gold,False,14 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,True,None,Lithium-ion,0.71 inches,12.76 inches,8.86 inches,True,False,1 year,1 year,193905272761
279.99,False,11.6 inches,True,SSD,4 gigabytes,Intel UHD Graphics 605,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,Lithium-polymer,"Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive",HP,11M-AP0013DX,Gray,False,11.6 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 605,Integrated,Intel,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,True,None,Lithium-polymer,0.7 inches,11 inches,7.7 inches,True,False,1 year,None,193808372919
219.0,False,11.6 inches,True,eMMC,4 gigabytes,Intel HD Graphics 500,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Lithium-polymer,"Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Acer,NX.GPZAA.001,Black,False,11.6 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,Not provided,Intel HD Graphics 500,Integrated,Intel,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,True,None,Lithium-polymer,0.8 inches,11.7 inches,8.1 inches,True,False,1 year,1 year,191114249390
399.99,False,17.3 inches,False,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"17.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",HP,17-BY1053DX,Jet Black,False,17.3 inches,1600 x 900 (HD+),False,Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,True,DVD-RW,Lithium-ion,0.96 inches,16.33 inches,10.72 inches,True,False,1 year,1 year,193905610877
299.0,False,12.2 inches,True,eMMC,4 gigabytes,Intel HD Graphics 615,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,Lithium-ion,"Plus 2-in-1 12.2"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE521QAB,Silver,False,12.2 inches,1920 x 1200 (WUXGA),True,Touchscreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics 615,Integrated,Intel,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,True,None,Lithium-ion,0.63 inches,11.3 inches,8.2 inches,True,True,1 year,1 year,887276275710
