Price__Price,Key Specs__Backlit Keyboard,Key Specs__Screen Size,Key Specs__Touch Screen,Key Specs__Storage Type,Key Specs__System Memory (RAM),Key Specs__Graphics,Key Specs__Processor Speed (Base),Key Specs__Processor Model,Key Specs__Processor Model Number,Key Specs__Operating System,Key Specs__Battery Type,General__Product Name,General__Brand,General__Model Number,General__Color Category,Feature__Backlit Keyboard,Display__Screen Size,Display__Screen Resolution,Display__Touch Screen,Display__Display Type,Storage__Storage Type,Memory__System Memory (RAM),Memory__Type of Memory (RAM),Graphics__Graphics,Graphics__Graphics Type,Processor__Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Included__Built-In Webcam,Included__Optical Drive Type,Power__Battery Type,Dimension__Product Height,Dimension__Product Width,Dimension__Product Depth,Certifications & Listings__ENERGY STAR Certified,Certifications & Listings__EPEAT Qualified,Warranty__Manufacturer's Warranty - Parts,Warranty__Manufacturer's Warranty - Labor,Other__UPC
89999,Yes,13.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)",Apple,MVFK2LL/A,Silver,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199256842
89999,Yes,17.3 inches,No,SSD,16 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",ASUS,G731GU-BI7N9,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,No,None,Lithium-ion,1 inches,15.7 inches,11.5 inches,No,No,1 year,1 year,192876389584
109999,Yes,13.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 617,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 256GB Solid State Drive (Latest Model)",Apple,MVFJ2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 617,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.61 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199256835
17900,No,11.6 inches,Yes,eMMC,4 gigabytes,Other,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,Lithium-ion,"2-in-1 11.6"" Touch-Screen Chromebook - MT8173c - 4GB Memory - 32GB eMMC Flash Memory",Lenovo,81HY0001US,White,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,LPDDR3,Other,Integrated,MediaTek,2.1 gigahertz,Non-AMD/Intel processor,MT8173c,Chrome OS,Yes,None,Lithium-ion,0.8 inches,11.5 inches,8.5 inches,Yes,No,1 year,1 year,192940234819
29999,No,14 inches,Yes,SSD,4 gigabytes,Intel UHD Graphics 620,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Lithium-ion,"14"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive",HP,14-DQ0011DX,Gold,No,14 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,2.1 gigahertz,Intel 8th Generation Core i3,i3-8145U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.71 inches,12.76 inches,8.86 inches,Yes,No,1 year,1 year,193905272761
27999,No,11.6 inches,Yes,SSD,4 gigabytes,Intel UHD Graphics 605,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,Lithium-polymer,"Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive",HP,11M-AP0013DX,Gray,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,4 gigabytes,DDR4 SDRAM,Intel UHD Graphics 605,Integrated,Intel,1.1 gigahertz,Intel Pentium,N5000,Windows 10 Home,Yes,None,Lithium-polymer,0.7 inches,11 inches,7.7 inches,Yes,No,1 year,None,193808372919
21900,No,11.6 inches,Yes,eMMC,4 gigabytes,Intel HD Graphics 500,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Lithium-polymer,"Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Acer,NX.GPZAA.001,Black,No,11.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,eMMC,4 gigabytes,Not provided,Intel HD Graphics 500,Integrated,Intel,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Yes,None,Lithium-polymer,0.8 inches,11.7 inches,8.1 inches,Yes,No,1 year,1 year,191114249390
39999,No,17.3 inches,No,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"17.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",HP,17-BY1053DX,Jet Black,No,17.3 inches,1600 x 900 (HD+),No,Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Yes,DVD-RW,Lithium-ion,0.96 inches,16.33 inches,10.72 inches,Yes,No,1 year,1 year,193905610877
29900,No,12.2 inches,Yes,eMMC,4 gigabytes,Intel HD Graphics 615,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,Lithium-ion,"Plus 2-in-1 12.2"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE521QAB,Silver,No,12.2 inches,1920 x 1200 (WUXGA),Yes,Touchscreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics 615,Integrated,Intel,1.5 gigahertz,Intel Celeron,3965Y,Chrome OS,Yes,None,Lithium-ion,0.63 inches,11.3 inches,8.2 inches,Yes,Yes,1 year,1 year,887276275710
12900,No,11.6 inches,No,eMMC,4 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE501C13-K02US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276269436
109999,Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model)",Apple,MUHN2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190198947833
49999,No,15.6 inches,Yes,SSD,12 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 256GB SSD + Optane",HP,15-DY0013DX,Silver,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.71 inches,14.11 inches,9.53 inches,Yes,No,1 year,1 year,193905272822
49999,No,15.6 inches,No,SSD,12 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"VivoBook 15 15.6"" Laptop - Intel Core i7 - 12GB Memory - 256GB Solid State Drive",ASUS,X512FA-BI7A,Silver,No,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion,0.8 inches,14.1 inches,9.1 inches,No,No,1 year,1 year,192876433584
109999,Yes,17.3 inches,No,"SSD, HDD",16 gigabytes,NVIDIA GeForce RTX 2060,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB Hard Drive + 256GB SSD",Dell,G7790-7152GRY-PUS,Gray,Yes,17.3 inches,1920 x 1080 (Full HD),No,Widescreen LCD,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2060,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,15.9 inches,11.6 inches,Yes,No,1 year,1 year,884116316152
29900,,10 inches,,,,,,Intel Pentium Gold 4415Y,,Windows 10 Home in S mode,Lithium-ion,"Surface Go - 10"" Touch-Screen - Intel Pentium Gold - 4GB Memory - 64GB Storage",Microsoft,MHN-00001,Silver,,10 inches,1800 x 1200,,LCD,,,,,,,,,,Windows 10 Home in S mode,,,Lithium-ion,0.33 inches,9.65 inches,6.9 inches,Yes,,1-year limited hardware,1 Year,889842284188
149999,Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 655,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD",Apple,MV962LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LED,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 655,Integrated,Intel,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,11.97 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199112216
239999,Yes,15.4 inches,No,SSD,16 gigabytes,AMD Radeon Pro 560X,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,Lithium-polymer,"MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD",Apple,MV912LL/A,Space Gray,Yes,15.4 inches,2880 x 1800 (Retina),No,LED,SSD,16 gigabytes,DDR4,AMD Radeon Pro 560X,Discrete,Intel,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,Yes,None,Lithium-polymer,0.61 inches,13.8 inches,9.48 inches,Yes,Yes,1 Year,1 Year,190199113589
18900,No,15.6 inches,No,eMMC,4 gigabytes,Intel HD Graphics,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-polymer,"15.6"" Chromebook - Intel Atom x5 - 4GB Memory - 16GB eMMC Flash Memory",Acer,CB3-532-108H,Gray,No,15.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Yes,None,Lithium-polymer,1 inches,15.1 inches,10.1 inches,No,No,1 year,1 year,193199060792
9900,No,11.6 inches,No,eMMC,2 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory",Samsung,XE501C13-K01US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,2 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276269429
114999,Yes,13.9 inches,Yes,SSD,16 gigabytes,Intel HD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Lithium-polymer,"Yoga C930 2-in-1 13.9"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive",Lenovo,81C4000EUS,Silver,Yes,13.9 inches,3840 x 2160 (4K),Yes,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4,Intel HD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Yes,None,Lithium-polymer,0.57 inches,8.93 inches,12.6 inches,No,No,3 Years,1 Year,192651841962
8900,No,11.6 inches,No,eMMC,2 gigabytes,None,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Atom x5 - 2GB Memory - 16GB eMMC Flash Memory",Samsung,XE501C13-S01US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,2 gigabytes,LPDDR3,None,None,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276361499
47999,No,15.6 inches,Yes,HDD,12 gigabytes,AMD Radeon Vega 8,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home in S mode,Lithium-ion,"S340-15API Touch 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 12GB Memory - 1TB Hard Drive",Lenovo,81QG0007US,Gray,No,15.6 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,HDD,12 gigabytes,DDR4 SDRAM,AMD Radeon Vega 8,Integrated,AMD,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.7 inches,14.1 inches,9.6 inches,Yes,No,1 year,1 year,193386908173
69999,Yes,15.6 inches,Yes,SSD,8 gigabytes,Intel UHD Graphics,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,Lithium-ion,"Inspiron 15.6"" 7000 2-in-1 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD + 32GB Optane",Dell,I7591-5476SLV-PUS,Silver,Yes,15.6 inches,1920 x 1080 (Full HD),Yes,Touchscreen Widescreen LCD,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics,Integrated,Intel,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,14.1 inches,9.8 inches,Yes,No,1 year,1 year,884116360476
94999,Yes,17.3 inches,Yes,SSD,12 gigabytes,NVIDIA GeForce MX250,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Lithium-ion,"Envy 17.3"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce MX250 - 512GB SSD + Optane",HP,17M-CE1013DX,Silver,Yes,17.3 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,NVIDIA GeForce MX250,Discrete,Intel,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Yes,DVD-RW,Lithium-ion,0.9 inches,15.9 inches,10.5 inches,Yes,No,1 year,1 year,193905587193
139999,Yes,15.6 inches,No,SSD,32 gigabytes,NVIDIA GeForce RTX 2060,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-polymer,"15.6"" Gaming Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce RTX 2060 - 512GB Solid State Drive",MSI,GS65 STEALTH-478,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,32 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2060,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-polymer,0.69 inches,15.1 inches,10.2 inches,No,No,1 year,1 year,824142183458
27999,No,15.6 inches,No,HDD,4 gigabytes,AMD Radeon R4,2.6 gigahertz,AMD A6,A6-9225,Windows 10 Home in S mode,Lithium-ion,"IdeaPad S145 15.6"" Laptop - AMD A6-Series - 4GB Memory - AMD Radeon R4 - 500GB Hard Drive",Lenovo,81N3005LUS,Black,No,15.6 inches,1366 x 768 (HD),No,Widescreen LED,HDD,4 gigabytes,DDR4 SDRAM,AMD Radeon R4,Integrated,AMD,2.6 gigahertz,AMD A6,A6-9225,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.8 inches,14.3 inches,9.9 inches,Yes,No,1 year,1 year,193386782667
239999,Yes,16 inches,No,SSD,16 gigabytes,AMD Radeon Pro 5300M,2.6 gigahertz,Intel 9th Generation Core i7,Intel 9th Generation Core i7,macOS Catalina,Lithium-ion polymer,"MacBook Pro - 16"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 5300M - 512GB SSD (Latest Model)",Apple,MVVJ2LL/A,Space Gray,Yes,16 inches,3072 x 1920 (Retina),No,LED,SSD,16 gigabytes,DDR4,AMD Radeon Pro 5300M,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,Intel 9th Generation Core i7,macOS Catalina,Yes,None,Lithium-ion polymer,0.64 inches,14.1 inches,9.68 inches,Yes,Yes,1 Year,1 Year,190199267961
99999,Yes,15.6 inches,No,SSD,8 gigabytes,NVIDIA GeForce GTX 1660 Ti,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Lithium-ion,"G3 15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1660Ti - 512GB Solid State Drive",Dell,I3590-5988BLK-PUS,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,LED,SSD,8 gigabytes,DDR4,NVIDIA GeForce GTX 1660 Ti,Discrete,Intel,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Yes,None,Lithium-ion,0.85 inches,14.4 inches,10 inches,Yes,No,1 Year,1 Year,884116315988
