"Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,
"$99.99	10.1 inches	1280 x 800	1.5 GHz	2 GB	32 GB	MALI-G31		MALI-G31	802.11bgn	1		vankyo	Z4	Z4	Android 9 Pie	1.08 pounds	9.8 x 6.7 x 0.3 inches	9.84 x 6.73 x 0.35 inches	Black	Rockchip	4	DDR3 SDRAM	32 GB				1 Lithium ion batteries required. (included)	1280x800	8 hours	Android	8 MP	DC								",,,,,,
"$190.74	15.6 inches	1366 x 768 pixels	2.4 GHz AMD A4	4 GB DDR4	32 GB Flash Memory Solid State	AMD Radeon R4	AMD	Integrated"," Dedicated	802.11ac		4	Acer	CB315-2H-25TX	CB315-2H-25TX	Chrome OS	4.19 pounds	15 x 10.1 x 0.8 inches	14.98 x 10.09 x 0.79 inches		AMD	2	DDR4 SDRAM	32.00	eSATA	0.1 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)		10 hours											",,,,,
"$391.46	15.6 inches	1920 x 1080 pixels	3.9 GHz Intel Core i3	8 GB DDR4	128 GB Flash Memory Solid State	Intel UHD Graphics 620	Intel	Integrated	802.11b/n/ac	2	2	ASUS	Asus VivoBook 15 F512FA	F512FA-AB34	Windows 10 S	3.75 pounds	14.1 x 9.1 x 0.8 inches	14.1 x 9.1 x 0.75 inches		Intel	2	DDR4 SDRAM	128.00	Solid State	10000 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)			PC						8 GB				",,,,,,
$1 ,"899.00	12.3 inches		8032	16 GB	flash_memory_solid_state	mac		Integrated				Microsoft	Surface Pro	VAT-00001	Windows 10 Home	1.74 pounds	12.7 x 9.1 x 1.9 inches	12.74 x 9.09 x 1.91 inches	Platinum	Intel	1		512 GB				1 Lithium ion batteries required. (included)													",,,,,
"$87.99	10.1 inches	1280x800	1.5 GHz	1 GB SDRAM DDR3	16 GB	Mali 400 MP2			802.11abg			Hoozo	Touch		Android	1.6 pounds	9.5 x 6.6 x 0.3 inches	9.48 x 6.59 x 0.34 inches	Slate Black	MT	4	DDR3 SDRAM	16 GB				1 Lithium ion batteries required. (included)	1280x800		Andriod 8.1 Oreo Go	5 MP	AC & Battery				1 GB				",,,,,,
"$109.99	10.1 inches	1280×800	1.30	2 GB SDRAM DDR3	16 GB	ARM Mali-T720			802.11bgn	1		Dragon Touch	Touch		Android 8.1 Oreo	1.95 pounds	9.5 x 6.7 x 0.4 inches	9.5 x 6.69 x 0.39 inches	Silver	MTK	4	DDR3 SDRAM	16 GB	USB 2.0			1 Lithium Polymer batteries required.	1280×800	6 hours	Android	2 MP	AC		1.3 GHz						",,,,,,
"$269.00	15.6 inches	1366x768	2.3 GHz Pentium	4 GB	500 GB mechanical_hard_drive	Intel HD Graphics 610	intel		802.11ac			Lenovo	S145	S145	Windows 10	5.51 pounds	14.3 x 9.9 x 0.8 inches	14.3 x 9.9 x 0.78 inches		Intel	2	DDR4 SDRAM		Serial ATA			1 Lithium Polymer batteries required. (included)	1366x768		PC										",,,,,,
"$749.99	23.8		3.4 GHz Intel Core i5	12 GB DDR4	512 GB Flash Memory Solid State			Integrated		1	4	Acer	Z24-890-UA91	Z24-890-UA91	Windows 10 Home	17.15 pounds	21.3 x 1.4 x 17.3 inches	21.29 x 1.45 x 17.3 inches	Silver	Intel		DDR4 SDRAM	512.00	Solid State	0.1 RPM	DVD-RW										0.1				",,,,,,
"$109.99	10 inches	1280×800	1.3 GHz	2 GB SDRAM DDR3	16 GB	ARM Mali-T720				1		Dragon Touch	Touch		Android 8.1 Oreo	1.95 pounds	9.5 x 6.7 x 0.4 inches	9.5 x 6.69 x 0.39 inches	Black	MTK	4	DDR3 SDRAM	16 GB	USB 2.0			1 Lithium Polymer batteries required. (included)	1280×800	6 hours	Android	2 MP	AC		1.3 GHz						",,,,,,
"$358.99	15.6 inches	1366 x 768	3.1 GHz AMD A Series	16 GB SDRAM	1 TB HDD 5400 rpm	AMD Radeon R5	amd		802.11ac			Lenovo	Home and Business	LENOVO	Windows 10	4.63 pounds	14.8 x 10 x 0.8 inches	14.8 x 10 x 0.76 inches	Black	AMD	2	DDR4 SDRAM		Serial ATA			1 Lithium ion batteries required.	1366 x 768	5 hours	PC	1.2 MP	AC & Battery								",,,,,,
