Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,,
$379.99	15.6 inches	1920 x 1080	3.9 GHz Intel Core i3	4 GB DDR4	128 GB Flash Memory Solid State	Intel UHD Graphics 620	Intel	Integrated	802.11ac	1	3	Acer	A515-54-30BQ	.	Windows 10	3.97 pounds	14.3 x 9.9 x 0.7 inches	14.31 x 9.86 x 0.71 inches	Silver	Intel	2	DDR4 SDRAM	128.00	Solid State	0.1	No Optical Drive	1 Lithium ion batteries required. (included)														https://www.amazon.com//Acer-Display-i3-8145U-Keyboard-A515-54-30BQ/dp/B07RJ687N3/ref=sr_1_11?qid=1575099971&s=computers-intl-ship&sr=1-11
$146.88			3.2 GHz Core i5 3470	8 GB SDRAM DDR3	500 GB	Intel HD Graphics 2500		Integrated HD Graphics		10		HP	Elit Pro 8300/6300	HP 8300 Elite	Windows 10 Professional	17.1 pounds	14.9 x 4 x 13.3 inches	14.9 x 4 x 13.3 inches		Intel	4	DDR3 SDRAM		Serial ATA		DVD-RW	1 CR2 batteries required.			PC			110 volts								https://www.amazon.com//HP-8300-Elite-Computer-Quad-Core/dp/B01CV9G1BO/ref=sr_1_12?qid=1575099971&s=computers-intl-ship&sr=1-12
$1,399.99	15.6 inches	1920 x 1080 pixels	3.9 GHz Intel Core i7	16 GB DDR4	512 GB Hybrid Drive	NVIDIA GeForce RTX 2070	NVIDIA	Dedicated	802.11a/b/g/n/ac, Bluetooth		3	ASUS	ROG SCAR II GL504	GL504GW-DS74	Windows 10 Home	5.29 pounds	14.2 x 10.3 x 1 inches	14.2 x 10.3 x 1 inches	16GB DDR4 RAM	Intel	6	DDR4 SDRAM	512	Solid State	10000 RPM	No Optical Drive	1 Lithium ion batteries required. (included)		2 hours	PC		AC & Battery		2666 MHz		8 GB					https://www.amazon.com//ASUS-GeForce-i7-8750H-Windows-GL504GW-DS74/dp/B07MDDNCH2/ref=sr_1_13?qid=1575099971&s=computers-intl-ship&sr=1-13
$720.00	12.3 inches	2736x1824 pixels	1.3 GHz Core i5 8400T	8 GB LPDDR3 1866 MHz	128 GB Flash Memory Solid State	Intel® UHD Graphics 620 (i5)		Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a		1	Microsoft	Surface Pro 6	LGP-00001	Windows 10 Home	1.96 pounds	11.5 x 7.9 x 0.3 inches	11.5 x 7.9 x 0.33 inches	Platinum	Intel	4	DDR3 SDRAM	128 GB			None	1 Lithium Polymer batteries required. (included)				8 MP	Battery									https://www.amazon.com//Microsoft-Surface-Intel-Core-128GB/dp/B07HZPCWD8/ref=sr_1_14?qid=1575099971&s=computers-intl-ship&sr=1-14
$144.00	15.6 inches		1.6 GHz Intel Celeron	4 GB SDRAM	16 GB eMMC	Intel HD Graphics 400	intel	Integrated	Bluetooth, 802.11ac		2	Acer	Chromebook 15	CB3-532-C8DF	Chrome OS	4.41 pounds	15.1 x 10.1 x 1 inches	15.1 x 10.1 x 1 inches	Black	Intel	2	DDR3 SDRAM	16.00	Solid State	16 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)	1366x768		PC		AC & Battery		1600 MHz							https://www.amazon.com//Acer-Chromebook-Computer-802-11ac-Bluetooth/dp/B07FSFRWS4/ref=sr_1_15?qid=1575099971&s=computers-intl-ship&sr=1-15
$180.89	14 inches	1920X1080 pixels	2.1 GHz MTK 8121	4 GB LPDDR3	64 GB Flash Memory Solid State		Intel	Integrated	802.11ac		1	Lenovo	Ideapad S330	81JW0000US	Chrome OS	3.3 pounds	12.8 x 0.8 x 9.2 inches	12.82 x 0.82 x 9.15 inches	Business Black	Mediatek	4		64.00	Solid State	7200 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)			Chrome											https://www.amazon.com//Lenovo-Chromebook-MediaTek-Processor-81JW0000US/dp/B07GLV1VC7/ref=sr_1_16?qid=1575099971&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-16
$174.00	11.6 inches	1366 x 768	1.1 GHz Celeron N	4 GB DDR3	64 GB emmc	Intel UHD Graphics 600	intel		802.11ac			Lenovo	Lenovo	130S	Windows 10	3.31 pounds	11.3 x 7.9 x 0.7 inches	11.3 x 7.9 x 0.7 inches	Gray	Intel	2	DDR3 SDRAM	64 GB	Solid State			1 Lithium Polymer batteries required.	1366 x 768		PC		AC & Battery									https://www.amazon.com//Lenovo-130S-Bluetooth-Personal-Included/dp/B07S8CGX9X/ref=sr_1_17?qid=1575099975&s=computers-intl-ship&sr=1-17
$230.00	9.7 inches	2048x1536		32 GB DDR4 SDRAM	32 GB	M9		Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			APPLE	iPad	MP2F2LL/A	iOS 10	14.1 ounces	9.4 x 0.3 x 6.6 inches	9.4 x 0.3 x 6.6 inches	Space Gray	Apple	2	DDR4 SDRAM	32 GB				1 Lithium Polymer batteries required.		10 hours	Mac	8 MP	Corded-Electric									https://www.amazon.com//Apple-32GB-Space-Model-Refurbished/dp/B074PWW6NS/ref=sr_1_18?qid=1575099975&s=computers-intl-ship&sr=1-18
	9.7 inches		1 GHz Apple A5	1 GB DDR2_SDRAM	16 GB	PowerVR SGX543MP2			801.11ac			APPLE		MC769LL/A-C	iOS 7	1.54 pounds	3.9 x 9.8 x 17.7 inches	3.94 x 9.84 x 17.72 inches	Black	Apple	2	DDR3 SDRAM	16 GB				Lithium Metal batteries required.		9 hours	Mac	1 MP	Battery	110 volts		Click here for Proposition 65 warning						https://www.amazon.com//Apple-iPad-MC769LL-9-7-Inch-Black/dp/B006PLODWE/ref=sr_1_19?qid=1575099975&s=computers-intl-ship&sr=1-19
$358.64	15.6 inches	1366 x 768	2.7 GHz Pentium N4200	4 GB	1 TB mechanical_hard_drive	Intel UHD Graphics 605	intel	integrated	802.11abg			HP	HP	NA	Windows 10	4.41 pounds	15 x 10 x 0.9 inches	15 x 10 x 0.9 inches		Intel	1	DDR4 SDRAM		Serial ATA			1 Lithium Metal batteries required. (included)	1366x768		PC		AC & Battery									https://www.amazon.com//HP-Touch-Screen-Notebook-Quad-Core-Bluetooth/dp/B07S6ZS35Q/ref=sr_1_20?qid=1575099975&s=computers-intl-ship&sr=1-20
$151.99	15.6 inches	1366 x 768	1.6 GHz Intel Celeron D	2 GB DDR3	16 GB SSD	HD Graphics 400	Intel	Integrated	802.11bgn, Bluetooth			Acer	CB5-532	NX.GHJAA.002	Chrome OS	4.3 pounds	10.1 x 15.1 x 1 inches	10.1 x 15.1 x 1 inches		Intel	1	DDR3 SDRAM	16 GB	Solid State			1 Lithium Polymer batteries required.	1366 x 768	7 hours	PC	720 pixels	AC & Battery		1600 MHz							https://www.amazon.com//Acer-Flagship-CB3-532-Premium-Chromebook/dp/B06XD3LXXK/ref=sr_1_21?qid=1575099975&s=computers-intl-ship&sr=1-21
$232.98	15.6 inches	1366 x 768	2.5 GHz Celeron N	4 GB	128 GB flash_memory_solid_state	AMD Radeon R5	amd	Dedicated	802.11ac			Lenovo	130-15AST	81H5002FUS	Windows 10	4.63 pounds	14.8 x 10 x 0.9 inches	14.8 x 10 x 0.9 inches	Black	Intel	2	DDR4 SDRAM	128 GB	Solid State			1 Lithium Polymer batteries required. (included)			PC											https://www.amazon.com//Lenovo-Performance-Dual-Core-802-11ac-Bluetooth/dp/B07Q147J19/ref=sr_1_22?qid=1575099975&s=computers-intl-ship&sr=1-22
$549.99	10.5 inches	2560 x 1600 pixels	2.84 GHz	128 GB	128 GB	Adreno 640		Integrated	802.11a/b/g/n/ac, 2.4 GHz Radio Frequency, 5 GHz Radio Frequency, Bluetooth		1	Samsung	Samsung Galaxy Tab S6 10.5"	SM-T860NZAAXAR	Android	1.55 pounds	0.2 x 6.3 x 9.6 inches	0.22 x 6.28 x 9.63 inches	Mountain Gray	Qualcomm			128 GB				1 Lithium Polymer batteries required. (included)	2560 x 1600 pixels	10 hours	Android	12 MP	Battery					SM-T860NZAAXAR				https://www.amazon.com//Samsung-Galaxy-128GB-Tablet-Mountain/dp/B07VGJH29F/ref=sr_1_23?qid=1575099975&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-23
$799.00	12.3 inches	2736 x 1824	8032	128 GB		Intel Iris Plus Graphics	Intel	Integrated				Microsoft	Surface Pro	QWU-00001	Windows 10 Home	1.06 pounds	12.8 x 2.7 x 9.2 inches	12.8 x 2.68 x 9.21 inches	Platinum	Intel	1		128 GB				1 Lithium ion batteries required. (included)	2736 x 1824	13 hours		8 MP										https://www.amazon.com//NEW-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNJGMH6/ref=sr_1_24?qid=1575099975&s=computers-intl-ship&sr=1-24
$599.99	15.6 inches	1920 x 1080 pixels	3.7 GHz AMD R Series	8 GB DDR4	256 GB Flash Memory Solid State	NVIDIA GeForce GTX 1650	NVIDIA	Dedicated	802.11a/b/g/n/ac, Bluetooth	1	2	ASUS	TUF FX505DT	FX505DT-AH51	Windows 10 Home	4.85 pounds	14.2 x 10.3 x 1 inches	14.2 x 10.3 x 1 inches		AMD	4	DDR4 SDRAM	256.00	Solid State	10000 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)			PC				2666 MHz		4 GB					https://www.amazon.com//R5-3550H-Processor-Graphics-FX505DT-AH51-Keyboard/dp/B07VBK4SYS/ref=sr_1_25?qid=1575099975&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-25
$129.00	11.6 inches	1366x768 pixels	1.6 GHz Intel Celeron	2 GB	16 GB Flash Memory Solid State	Intel HD Graphics 400	Intel	Integrated	802.11g	1	1	Samsung	Samsung Chromebook	XE500C13-K05US	Chrome OS	2.43 pounds	11.4 x 8 x 0.7 inches	11.37 x 8.04 x 0.7 inches	Black	Intel	2		16.0	Solid State		No Optical Drive	1 Lithium Polymer batteries required. (included)		11 hours	Chrome						1					https://www.amazon.com//Samsung-Chromebook-16GB-eMMC-11-6/dp/B01MS79M6Y/ref=sr_1_26?qid=1575099975&s=computers-intl-ship&sr=1-26
$185.00	11.6 inches	1366 x 768 pixels	2.48 GHz Celeron N3060	4 GB DDR3L	32 GB emmc	Intel HD Graphics 400	Intel	Integrated	802.11ac	1	1	Acer	Acer Chromebook	NX.G55AA.010	Chrome OS	2.76 pounds	8 x 11.6 x 0.8 inches	8.03 x 11.57 x 0.78 inches		Intel	2	DDR3 SDRAM	32.00	Solid State		No Optical Drive	1 Lithium Polymer batteries required. (included)		10 hours												https://www.amazon.com//Acer-11-6-N3060-32GB-Chrome/dp/B0791YBJGZ/ref=sr_1_27?qid=1575099975&s=computers-intl-ship&sr=1-27
$319.83	14 inches	1366 x 768 pixels	2.4 GHz Intel Core i3	8 GB	1 TB 128 GB M.2 SSD	2.4 GHz Intel Core i3		Integrated	802.11b/g, 802.11bgn, 802.11b	1	1	HP	HP	14-CF0014DX	Windows 10	4.35 pounds	32.4 x 22.6 x 2 inches	32.4 x 22.6 x 2 inches		Intel	2	DDR4 SDRAM	128.0			No Optical Drive	1 Lithium Metal batteries required. (included)			PC				8 GHz							https://www.amazon.com//HP-2019-14-Laptop-14-CF0014DX/dp/B07KNLVRJ2/ref=sr_1_28?qid=1575099975&s=computers-intl-ship&sr=1-28
$340.00	14 inches		3.9 GHz Core i3 Family	4 GB DDR4	128 GB 128GB m.2 PCIe Solid State Drive		Intel	Integrated	802.11ac	1	2	Dell	i5481-3595GRY-PUS	na	Windows 10 Home	2.87 pounds	9.2 x 13.2 x 0.8 inches	9.17 x 13.22 x 0.8 inches		Intel	1	DDR4 SDRAM	4.00	Solid State	5400 RPM	No Optical Drive	1 Lithium Polymer batteries required.			Windows											https://www.amazon.com//Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_29?qid=1575099975&s=computers-intl-ship&sr=1-29
$364.00	15.6 inches	HD 1366x768	2.7 GHz 80486DX2	8 GB DDR	256 GB SSD	Intel HD Graphics 620	Intel	Integrated	802.11b/g, 802.11bgn, 802.11b	2	2	Dell	Dell I3567	Dell I3567	Windows 10	4.85 pounds			Black	Intel	2	SODIMM	256.00	Solid State	12 RPM	BD-R	1 Lithium Polymer batteries required.	1366x768		PC		AC & Battery		2133 MHz				19.5 x 13.7 x 3 inches			https://www.amazon.com//Dell-Inspiron-Touchscreen-Performance-Bluetooth/dp/B079ZJLMJN/ref=sr_1_30?qid=1575099975&s=computers-intl-ship&sr=1-30
$999.99	1 centimeters		3 GHz Intel Core i7	16 GB DDR4	1 TB Mechanical Hard Drive	NVIDIA Geforce GTX 1660 Ti 6GB		Dedicated		2	2	iBUYPOWER	Element 9260	Element 9260	Windows 10 Home	32 pounds			black	Intel		DDR4 SDRAM	240.00	Serial ATA	7200 RPM	None				PC						6 GB		22 x 20.5 x 12.8 inches			https://www.amazon.com//iBUYPOWER-Computer-Element-9260-i7-9700F/dp/B07V34QQ3C/ref=sr_1_31?qid=1575099975&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-31
$140.00	11.6 inches	1366 x 768	1.6 GHz Celeron N3060	4 GB SDRAM	emmc	intel	intel	Integrated	802.11ac			Dell	Dell Regular 11 chromebook	dell chromebook 11	Chrome OS	4.41 pounds	11 x 8 x 0.8 inches	11 x 8 x 0.8 inches	Black	Intel	2	DDR3L-1600 SDRAM	16 GB				1 Lithium Polymer batteries required. (included)	1366x768		PC		AC & Battery									https://www.amazon.com//Dell-11-Chromebook-Non-Touchscreen-Processor/dp/B07T18VQNC/ref=sr_1_32?qid=1575099975&s=computers-intl-ship&sr=1-32
$684.99	15.6 inches	1366 x 768	1.6 GHz Intel Core i5	16 GB DDR4	512 GB SSD	Intel UHD Graphics 620	Intel	Integrated	802.11ac, Bluetooth	1		Lenovo	E590 Notebook PC	E590 Business Laptop	Windows 10 Pro	4.7 pounds	9.9 x 14.5 x 0.8 inches	9.92 x 14.53 x 0.78 inches	Black	Intel	4	DDR4 SDRAM	512 GB	PCIE x 4			1 Lithium ion batteries required. (included)	1366x768	12.23 hours	PC	720 pixels	AC & Battery									https://www.amazon.com//Lenovo-E590-Business-Laptop-Professional/dp/B07TD7N4WK/ref=sr_1_33?qid=1575099981&s=computers-intl-ship&sr=1-33
$1,087.88	15.6 inches	1920 x 1080	4.1 GHz Core i7 8750H	16 GB DDR4	1000 GB 128GB PCIe M.2 SSD + 1TB (+8GB SSHD) Hybrid Drive	NVIDIA GeForce GTX 1060	nvidia	Dedicated			3	Alienware	AWm15-7830SLV-PUS	AWM15-7830SLV-PUS	Windows 10 Home	4.85 pounds	14.3 x 10.8 x 0.8 inches	14.3 x 10.8 x 0.8 inches		Intel	6	DDR4 SDRAM	16.00	Solid State	5400 RPM	No Optical Drive	1 Lithium ion batteries required.			PC						6 GB					https://www.amazon.com//Alienware-M15-15-6-FHD-i7-8750H-1060-16GB/dp/B07MHXNHFW/ref=sr_1_34?qid=1575099981&s=computers-intl-ship&sr=1-34
$679.30	15.6 inches	1920 x 1080 pixels	2.4 GHz Intel Core i5	8 GB DDR4	512 GB Flash Memory Solid State	NVIDIA GeForce	NVIDIA	Dedicated	Bluetooth		2	Lenovo	L340 Gaming	81LK00HDUS	Windows 10	4.84 pounds	14.3 x 10 x 0.9 inches	14.29 x 10.02 x 0.94 inches	Black	Intel	1	SODIMM		Solid State	7200 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)	1600x1200 pixels		PC				2400 MHz		4 GB					https://www.amazon.com//Lenovo-Ideapad-i5-9300H-Processor-81LK00HDUS/dp/B07VC55LF5/ref=sr_1_35?qid=1575099981&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-35
$139.00	11.6 inches	1366 x 768 pixels	2.16 GHz Celeron 3865U	4 GB SDRAM DDR3	16 GB SSD	Intel HD Graphics 400		Integrated	802.11bgn, 802.11abg	1		Samsung	Chromebook (XE500C13-K04US)	XE500C13-S02US-R	Chrome OS	3.65 pounds	14 x 2.5 x 11.8 inches	14 x 2.5 x 11.75 inches	Black	Intel	2	DDR3 SDRAM	16 GB	Solid State			1 Lithium Metal batteries required. (included)	1366 x 768 pixels	10 hours	PC	8 MP										https://www.amazon.com//Samsung-Chromebook-XE500C13-K04US-Certified-Refurbished/dp/B0759YSF4W/ref=sr_1_36?qid=1575099981&s=computers-intl-ship&sr=1-36
$329.99	10.5 inches	2560x1600 pixels	2 GHz 8032	64 GB	64 GB	Adreno 616		Integrated	802.11a/b/g/n/ac, 2.4 GHz Radio Frequency, 5 GHz Radio Frequency		1	Samsung	Galaxy Tab S5e 10.5" (T720)	SM-T720NZKAXAR	Android 9 Pie	3.68 ounces	0.2 x 6.3 x 9.7 inches	0.22 x 6.3 x 9.65 inches	Black	Qualcomm	1		64 GB				1 Lithium Polymer batteries required. (included)	2560x1600 pixels		Android, Android, Android	13 MP										https://www.amazon.com//Samsung-Galaxy-WiFi-Tablet-Black/dp/B07Q5VPY2F/ref=sr_1_37?qid=1575099981&s=computers-intl-ship&sr=1-37
$719.99	14 inches	1920 x 1080	4.6 GHz Core i7 Family	16 GB DDR4	512 GB Flash Memory Solid State	Intel UHD Graphics 620	Intel	Integrated	802.11ac	1	1	Acer	SP314-53N-77AJ	SP314-53N-77AJ	Windows 10 Home	3.75 pounds	12.9 x 9.4 x 0.8 inches	12.95 x 9.41 x 0.78 inches		Intel	4		512.00	Solid State	0.01 RPM	No Optical Drive	1 Lithium ion batteries required. (included)		12 hours												https://www.amazon.com//Acer-Convertible-Fingerprint-Rechargeable-SP314-53N-77AJ/dp/B07QXL8YCX/ref=sr_1_38?qid=1575099981&s=computers-intl-ship&smid=ATVPDKIKX0DER&sr=1-38
$108.69	11.6 inches		1.7 GHz Exynos 5000 Series	2 GB DDR3	16 GB flash memory solid state	ARM Mali-T604			802.11abg, 802.11n	1		Samsung	Chromebook	XE303C12-A01	Chrome OS	2.4 pounds	11.4 x 0.7 x 8.2 inches	11.4 x 0.66 x 8.21 inches	Silver	Samsung	2	DDR3 SDRAM	16 GB	Solid State			1 Lithium Polymer batteries required. (included)	1366 x 768	7 hours	PC	720 lines_per_inch	AC	110 volts	1333.00					1		https://www.amazon.com//Samsung-Chromebook-Wi-Fi-11-6-Inch-Refurbished/dp/B00M9K7L8S/ref=sr_1_39?qid=1575099981&s=computers-intl-ship&sr=1-39
$299.00	15.6 inches	HD ( 1366 x 768 ) Energy-efficient	2.3 GHz Pentium	8 GB DDR	500 GB HDD 5400 rpm	Integrated Intel UHD Graphics 610	Intel		Bluetooth			Lenovo	lenovo ideapad s145	S145-15IWL	Windows 10 Home	4.41 pounds	9.9 x 14.3 x 0.8 inches	9.9 x 14.3 x 0.78 inches	Granite Black Texture	Intel	2	DDR SDRAM		Serial ATA			1 Lithium Polymer batteries required. (included)	1366x768	5.5 hours	business, school and home Laptop		AC & Battery									https://www.amazon.com//Flagship-Lenovo-Bluetooth-Graphics-Accessories/dp/B07WWZTHL5/ref=sr_1_40?qid=1575099981&s=computers-intl-ship&sr=1-40
	11.6 inches	1366x768	2.58 GHz Intel Celeron	4 GB	16 GB SSD	Intel HD Graphics	Intel	Integrated	802.11abg	3		Dell	Dell ChromeBook	ChromeBook 11 3120	Chrome OS	2.75 pounds			Black	Intel	1	SDRAM	16 GB	Serial ATA	7200.00		1 Lithium Polymer batteries required. (included)	1366x768	5 hours	PC		AC & Battery		12800 GHz	Click here for Proposition 65 warning			13.2 x 10.5 x 3 inches			https://www.amazon.com//Dell-ChromeBook-NoteBook-Certified-Refurbished/dp/B07781S5L5/ref=sr_1_41?qid=1575099981&s=computers-intl-ship&sr=1-41
